waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	0.000100

time	Y[0]
01-01-1904  00:00:00.011400	6.222531E-1
01-01-1904  00:00:00.011500	6.248030E-1
01-01-1904  00:00:00.011600	6.197033E-1
01-01-1904  00:00:00.011700	6.197033E-1
01-01-1904  00:00:00.011800	6.171534E-1
01-01-1904  00:00:00.011900	6.095037E-1
01-01-1904  00:00:00.012000	6.197033E-1
01-01-1904  00:00:00.012100	6.158784E-1
01-01-1904  00:00:00.012200	6.235281E-1
01-01-1904  00:00:00.012300	6.260780E-1
01-01-1904  00:00:00.012400	6.248030E-1
01-01-1904  00:00:00.012500	6.235281E-1
01-01-1904  00:00:00.012600	6.248030E-1
01-01-1904  00:00:00.012700	6.273529E-1
01-01-1904  00:00:00.012800	6.235281E-1
01-01-1904  00:00:00.012900	6.248030E-1
01-01-1904  00:00:00.013000	6.222531E-1
01-01-1904  00:00:00.013100	6.133286E-1
01-01-1904  00:00:00.013200	6.197033E-1
01-01-1904  00:00:00.013300	6.171534E-1
01-01-1904  00:00:00.013400	6.235281E-1
01-01-1904  00:00:00.013500	6.235281E-1
01-01-1904  00:00:00.013600	6.248030E-1
01-01-1904  00:00:00.013700	6.235281E-1
01-01-1904  00:00:00.013800	6.235281E-1
01-01-1904  00:00:00.013900	6.171534E-1
01-01-1904  00:00:00.014000	6.171534E-1
01-01-1904  00:00:00.014100	6.146035E-1
01-01-1904  00:00:00.014200	6.184283E-1
01-01-1904  00:00:00.014300	6.171534E-1
01-01-1904  00:00:00.014400	6.260780E-1
01-01-1904  00:00:00.014500	6.248030E-1
01-01-1904  00:00:00.014600	6.299028E-1
01-01-1904  00:00:00.014700	6.248030E-1
01-01-1904  00:00:00.014800	6.235281E-1
01-01-1904  00:00:00.014900	6.209782E-1
01-01-1904  00:00:00.015000	6.146035E-1
01-01-1904  00:00:00.015100	6.171534E-1
01-01-1904  00:00:00.015200	6.069539E-1
01-01-1904  00:00:00.015300	6.158784E-1
01-01-1904  00:00:00.015400	6.107787E-1
01-01-1904  00:00:00.015500	6.171534E-1
01-01-1904  00:00:00.015600	6.056789E-1
01-01-1904  00:00:00.015700	6.158784E-1
01-01-1904  00:00:00.015800	6.120536E-1
01-01-1904  00:00:00.015900	6.146035E-1
01-01-1904  00:00:00.016000	6.158784E-1
01-01-1904  00:00:00.016100	6.197033E-1
01-01-1904  00:00:00.016200	6.095037E-1
01-01-1904  00:00:00.016300	6.133286E-1
01-01-1904  00:00:00.016400	6.107787E-1
01-01-1904  00:00:00.016500	6.133286E-1
01-01-1904  00:00:00.016600	6.260780E-1
01-01-1904  00:00:00.016700	6.184283E-1
01-01-1904  00:00:00.016800	6.158784E-1
01-01-1904  00:00:00.016900	6.158784E-1
01-01-1904  00:00:00.017000	6.171534E-1
01-01-1904  00:00:00.017100	6.209782E-1
01-01-1904  00:00:00.017200	6.273529E-1
01-01-1904  00:00:00.017300	6.209782E-1
01-01-1904  00:00:00.017400	6.273529E-1
01-01-1904  00:00:00.017500	6.209782E-1
01-01-1904  00:00:00.017600	6.248030E-1
01-01-1904  00:00:00.017700	6.184283E-1
01-01-1904  00:00:00.017800	6.197033E-1
01-01-1904  00:00:00.017900	6.171534E-1
01-01-1904  00:00:00.018000	6.146035E-1
01-01-1904  00:00:00.018100	6.171534E-1
01-01-1904  00:00:00.018200	6.146035E-1
01-01-1904  00:00:00.018300	6.197033E-1
01-01-1904  00:00:00.018400	6.260780E-1
01-01-1904  00:00:00.018500	6.248030E-1
01-01-1904  00:00:00.018600	6.235281E-1
01-01-1904  00:00:00.018700	6.248030E-1
01-01-1904  00:00:00.018800	6.311777E-1
01-01-1904  00:00:00.018900	6.248030E-1
01-01-1904  00:00:00.019000	6.222531E-1
01-01-1904  00:00:00.019100	6.235281E-1
01-01-1904  00:00:00.019200	6.120536E-1
01-01-1904  00:00:00.019300	6.184283E-1
01-01-1904  00:00:00.019400	6.133286E-1
01-01-1904  00:00:00.019500	6.197033E-1
01-01-1904  00:00:00.019600	6.158784E-1
01-01-1904  00:00:00.019700	6.197033E-1
01-01-1904  00:00:00.019800	6.133286E-1
01-01-1904  00:00:00.019900	6.197033E-1
01-01-1904  00:00:00.020000	6.133286E-1
01-01-1904  00:00:00.020100	6.197033E-1
01-01-1904  00:00:00.020200	6.158784E-1
01-01-1904  00:00:00.020300	6.197033E-1
01-01-1904  00:00:00.020400	6.107787E-1
01-01-1904  00:00:00.020500	6.197033E-1
01-01-1904  00:00:00.020600	6.107787E-1
01-01-1904  00:00:00.020700	6.171534E-1
01-01-1904  00:00:00.020800	6.158784E-1
01-01-1904  00:00:00.020900	6.184283E-1
01-01-1904  00:00:00.021000	6.235281E-1
01-01-1904  00:00:00.021100	6.235281E-1
01-01-1904  00:00:00.021200	6.260780E-1
01-01-1904  00:00:00.021300	6.235281E-1
01-01-1904  00:00:00.021400	6.248030E-1
01-01-1904  00:00:00.021500	6.235281E-1
01-01-1904  00:00:00.021600	6.260780E-1
01-01-1904  00:00:00.021700	6.222531E-1
01-01-1904  00:00:00.021800	6.209782E-1
01-01-1904  00:00:00.021900	6.158784E-1
01-01-1904  00:00:00.022000	6.209782E-1
01-01-1904  00:00:00.022100	6.197033E-1
01-01-1904  00:00:00.022200	6.171534E-1
01-01-1904  00:00:00.022300	6.197033E-1
01-01-1904  00:00:00.022400	6.171534E-1
01-01-1904  00:00:00.022500	6.158784E-1
01-01-1904  00:00:00.022600	6.146035E-1
01-01-1904  00:00:00.022700	6.184283E-1
01-01-1904  00:00:00.022800	6.235281E-1
01-01-1904  00:00:00.022900	6.197033E-1
01-01-1904  00:00:00.023000	6.158784E-1
01-01-1904  00:00:00.023100	6.158784E-1
01-01-1904  00:00:00.023200	6.184283E-1
01-01-1904  00:00:00.023300	6.158784E-1
01-01-1904  00:00:00.023400	6.171534E-1
01-01-1904  00:00:00.023500	6.158784E-1
01-01-1904  00:00:00.023600	6.158784E-1
01-01-1904  00:00:00.023700	6.158784E-1
01-01-1904  00:00:00.023800	6.184283E-1
01-01-1904  00:00:00.023900	6.184283E-1
01-01-1904  00:00:00.024000	6.158784E-1
01-01-1904  00:00:00.024100	6.209782E-1
01-01-1904  00:00:00.024200	6.171534E-1
01-01-1904  00:00:00.024300	6.222531E-1
01-01-1904  00:00:00.024400	6.299028E-1
01-01-1904  00:00:00.024500	6.235281E-1
01-01-1904  00:00:00.024600	6.273529E-1
01-01-1904  00:00:00.024700	6.209782E-1
