waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.000000	6.044040E-1
01-01-1904  00:00:00.000025	6.095037E-1
01-01-1904  00:00:00.000050	6.031290E-1
01-01-1904  00:00:00.000075	6.107787E-1
01-01-1904  00:00:00.000100	6.044040E-1
01-01-1904  00:00:00.000125	6.171534E-1
01-01-1904  00:00:00.000150	5.980293E-1
01-01-1904  00:00:00.000175	6.133286E-1
01-01-1904  00:00:00.000200	6.031290E-1
01-01-1904  00:00:00.000225	6.158784E-1
01-01-1904  00:00:00.000250	6.031290E-1
01-01-1904  00:00:00.000275	6.069539E-1
01-01-1904  00:00:00.000300	6.044040E-1
01-01-1904  00:00:00.000325	6.107787E-1
01-01-1904  00:00:00.000350	6.056789E-1
01-01-1904  00:00:00.000375	6.133286E-1
01-01-1904  00:00:00.000400	5.954794E-1
01-01-1904  00:00:00.000425	6.171534E-1
01-01-1904  00:00:00.000450	6.069539E-1
01-01-1904  00:00:00.000475	6.095037E-1
01-01-1904  00:00:00.000500	6.005792E-1
01-01-1904  00:00:00.000525	6.133286E-1
01-01-1904  00:00:00.000550	6.107787E-1
01-01-1904  00:00:00.000575	6.044040E-1
01-01-1904  00:00:00.000600	6.031290E-1
01-01-1904  00:00:00.000625	6.082288E-1
01-01-1904  00:00:00.000650	6.107787E-1
01-01-1904  00:00:00.000675	6.069539E-1
01-01-1904  00:00:00.000700	6.069539E-1
01-01-1904  00:00:00.000725	6.044040E-1
01-01-1904  00:00:00.000750	6.158784E-1
01-01-1904  00:00:00.000775	6.056789E-1
01-01-1904  00:00:00.000800	6.082288E-1
01-01-1904  00:00:00.000825	6.031290E-1
01-01-1904  00:00:00.000850	6.158784E-1
01-01-1904  00:00:00.000875	6.095037E-1
01-01-1904  00:00:00.000900	6.120536E-1
01-01-1904  00:00:00.000925	6.044040E-1
01-01-1904  00:00:00.000950	6.171534E-1
01-01-1904  00:00:00.000975	5.993042E-1
01-01-1904  00:00:00.001000	6.158784E-1
01-01-1904  00:00:00.001025	6.056789E-1
01-01-1904  00:00:00.001050	6.133286E-1
01-01-1904  00:00:00.001075	6.056789E-1
01-01-1904  00:00:00.001100	6.146035E-1
01-01-1904  00:00:00.001125	6.095037E-1
01-01-1904  00:00:00.001150	6.120536E-1
