Pixel,Wavelength (nm),Intensity (a.u.)
Pixel,Wavelength,Intensity
321,490.318,686.667
322,490.759,686
323,491.2,685.75
324,491.641,687.417
325,492.083,689
326,492.524,687.75
327,492.965,689.833
328,493.406,690.5
329,493.846,689.917
330,494.287,690.083
331,494.728,688.25
332,495.168,686.917
333,495.609,688.75
334,496.049,690.5
335,496.489,689.5
336,496.93,689.167
337,497.37,691.333
338,497.81,692.833
339,498.25,693.333
340,498.69,692.083
341,499.129,691.917
342,499.569,689.917
343,500.009,689.25
344,500.448,689.333
345,500.888,688.333
346,501.327,689.083
347,501.766,688.333
348,502.206,687.25
349,502.645,685.333
350,503.084,682.917
351,503.523,683.917
352,503.961,686.5
353,504.4,687.667
354,504.839,687.667
355,505.277,687.75
356,505.716,688.417
357,506.154,689.917
358,506.593,688.583
359,507.031,687.333
360,507.469,688.917
361,507.907,690.667
362,508.345,688.667
363,508.783,689.333
364,509.221,691.417
365,509.659,691.25
366,510.096,689
367,510.534,689.083
368,510.971,688.667
369,511.409,687.917
370,511.846,688.75
371,512.283,688.583
372,512.72,688.833
373,513.157,688.333
374,513.594,689
375,514.031,690.25
376,514.468,689.917
377,514.905,689.583
378,515.341,687.667
379,515.778,687.583
380,516.214,690.333
381,516.65,692.5
382,517.087,691
383,517.523,688.667
384,517.959,689.083
385,518.395,690.167
386,518.831,689.083
387,519.267,687.667
388,519.702,689.917
389,520.138,691.333
390,520.574,690.417
391,521.009,688.75
392,521.444,687.917
393,521.88,691.167
394,522.315,694.083
395,522.75,693.833
396,523.185,691.333
397,523.62,691.25
398,524.055,693
399,524.49,692.25
400,524.924,690.417
401,525.359,689
402,525.794,687.25
403,526.228,688.833
404,526.662,690.75
405,527.097,692.583
406,527.531,693
407,527.965,690.917
408,528.399,691.5
409,528.833,691.75
410,529.267,692.333
411,529.7,692.417
412,530.134,693.333
413,530.568,693.5
414,531.001,695.667
415,531.434,696.167
416,531.868,697.417
417,532.301,699.833
418,532.734,700.25
419,533.167,700.5
420,533.6,700
421,534.033,700.833
422,534.466,701.833
423,534.898,700.333
424,535.331,701.833
425,535.763,705
426,536.196,706.167
427,536.628,706.833
428,537.06,709.583
429,537.493,713.5
430,537.925,715.5
431,538.357,717.417
432,538.788,718.917
433,539.22,720.417
434,539.652,723.25
435,540.084,727.25
436,540.515,729.917
437,540.947,731.667
438,541.378,733.333
439,541.809,734.833
440,542.24,737.167
441,542.672,741.25
442,543.103,746.75
443,543.533,750.833
444,543.964,754.667
445,544.395,759.417
446,544.826,765.333
447,545.256,766
448,545.687,766.167
449,546.117,769.5
450,546.547,772.75
451,546.978,776
452,547.408,780.5
453,547.838,783
454,548.268,785.583
455,548.698,792.25
456,549.127,797.167
457,549.557,799.083
458,549.987,803.75
459,550.416,807.5
460,550.846,810.583
461,551.275,813.667
462,551.704,819.333
463,552.133,825.917
464,552.562,829.583
465,552.991,835.167
466,553.42,838.917
467,553.849,842.25
468,554.278,846.583
469,554.706,850.917
470,555.135,855.583
471,555.563,859.833
472,555.991,867.417
473,556.42,873.417
474,556.848,880
475,557.276,886.833
476,557.704,893.5
477,558.132,900.583
478,558.56,907.833
479,558.987,914.083
480,559.415,920.75
481,559.843,928.167
482,560.27,935.167
483,560.697,944.333
484,561.125,953.167
485,561.552,958
486,561.979,963.917
487,562.406,972.667
488,562.833,981
489,563.26,988.167
490,563.686,995.083
491,564.113,1003.5
492,564.54,1014.5
493,564.966,1024.17
494,565.392,1031.08
495,565.819,1040.5
496,566.245,1049.75
497,566.671,1060.5
498,567.097,1071.5
499,567.523,1081.58
500,567.949,1088.58
501,568.374,1098.25
502,568.8,1108.83
503,569.226,1118.58
504,569.651,1129.25
505,570.077,1138.17
506,570.502,1145.75
507,570.927,1153.17
508,571.352,1162.67
509,571.777,1173
510,572.202,1179.92
511,572.627,1188.25
512,573.052,1199
513,573.476,1208.92
514,573.901,1216
515,574.325,1226.17
516,574.75,1240.83
517,575.174,1253.67
518,575.598,1260.67
519,576.022,1266.5
520,576.446,1272.25
521,576.87,1281.33
522,577.294,1290.67
523,577.718,1300.42
524,578.142,1314.58
525,578.565,1329.17
526,578.989,1343.17
527,579.412,1358.08
528,579.835,1368.75
529,580.259,1375.42
530,580.682,1386.17
531,581.105,1401.92
532,581.528,1414.42
533,581.951,1423.42
534,582.373,1436.17
535,582.796,1448.42
536,583.219,1458.58
537,583.641,1466.58
538,584.063,1476
539,584.486,1486.5
540,584.908,1496.17
541,585.33,1506.92
542,585.752,1516.67
543,586.174,1527.75
544,586.596,1537.83
545,587.018,1549.5
546,587.439,1561.67
547,587.861,1572.08
548,588.282,1584.5
549,588.704,1598.33
550,589.125,1614.25
551,589.546,1627.83
552,589.967,1643.83
553,590.388,1661.42
554,590.809,1673.42
555,591.23,1688
556,591.651,1708.5
557,592.071,1724.83
558,592.492,1735.83
559,592.912,1747.75
560,593.333,1762.75
561,593.753,1776
562,594.173,1784.08
563,594.593,1791.25
564,595.013,1801.83
565,595.433,1811.5
566,595.853,1817.33
567,596.273,1823.17
568,596.693,1829
569,597.112,1837.75
570,597.532,1845.33
571,597.951,1853.58
572,598.37,1865.92
573,598.789,1871.25
574,599.208,1876.75
575,599.627,1888.58
576,600.046,1898
577,600.465,1909.67
578,600.884,1925.25
579,601.303,1936.58
580,601.721,1943.33
581,602.139,1954.83
582,602.558,1966.75
583,602.976,1967.08
584,603.394,1972.67
585,603.812,1982.25
586,604.23,1984.75
587,604.648,1992.75
588,605.066,2001.33
589,605.484,2007.58
590,605.901,2019.5
591,606.319,2034.58
592,606.736,2040.58
593,607.154,2040.67
594,607.571,2045.5
595,607.988,2055.58
596,608.405,2065.83
597,608.822,2074.92
598,609.239,2090.83
599,609.656,2105.67
600,610.072,2119
601,610.489,2130.83
602,610.905,2135.83
603,611.322,2140.58
604,611.738,2143.67
605,612.154,2148.33
606,612.57,2163.08
607,612.986,2176.58
608,613.402,2187.67
609,613.818,2193.83
610,614.234,2202.33
611,614.65,2213.42
612,615.065,2224.25
613,615.481,2235.83
614,615.896,2247.92
615,616.311,2252.92
616,616.727,2261.33
617,617.142,2270.5
618,617.557,2279.42
619,617.972,2295.75
620,618.386,2313.42
621,618.801,2328.67
622,619.216,2340.33
623,619.63,2347.08
624,620.045,2350.33
625,620.459,2351.58
626,620.873,2356
627,621.287,2366.25
628,621.702,2376.17
629,622.116,2386.58
630,622.529,2393.42
631,622.943,2408.25
632,623.357,2424.5
633,623.771,2429.75
634,624.184,2438.33
635,624.597,2454
636,625.011,2467.83
637,625.424,2475.75
638,625.837,2482
639,626.25,2481.5
640,626.663,2482.58
641,627.076,2495.33
642,627.489,2500.33
643,627.901,2505.08
644,628.314,2522.08
645,628.726,2543.25
646,629.139,2554.75
647,629.551,2557
648,629.963,2566.5
649,630.375,2582.67
650,630.787,2599.83
651,631.199,2614.25
652,631.611,2624.33
653,632.023,2629.75
654,632.434,2640.92
655,632.846,2655.58
656,633.257,2665.83
657,633.669,2677.08
658,634.08,2685.42
659,634.491,2690.5
660,634.902,2704.5
661,635.313,2707.25
662,635.724,2706.58
663,636.135,2720.33
664,636.545,2734.17
665,636.956,2746.42
666,637.366,2758.5
667,637.777,2771.83
668,638.187,2780.08
669,638.597,2791.5
670,639.007,2809.42
671,639.417,2815.67
672,639.827,2822.25
673,640.237,2833.5
674,640.647,2841.17
675,641.056,2842.83
676,641.466,2848.58
677,641.875,2860.75
678,642.285,2870.5
679,642.694,2885.08
680,643.103,2896.58
681,643.512,2901.58
682,643.921,2910.67
683,644.33,2927.67
684,644.739,2939.25
685,645.148,2940.25
686,645.556,2942.83
687,645.965,2951.17
688,646.373,2964.5
689,646.781,2977.08
690,647.189,2993
691,647.598,3008.33
692,648.006,3019.33
693,648.414,3027.83
694,648.821,3031.5
695,649.229,3034.67
696,649.637,3034.25
697,650.044,3028.58
698,650.452,3027.67
699,650.859,3034.33
700,651.266,3028.92
701,651.673,3027.92
702,652.08,3039.83
703,652.487,3050.33
704,652.894,3066.58
705,653.301,3097.67
706,653.708,3118.33
707,654.114,3124.75
708,654.521,3135.17
709,654.927,3141.58
710,655.333,3156.17
711,655.74,3174
712,656.146,3180.5
713,656.552,3188.25
714,656.958,3205.75
715,657.363,3219.33
716,657.769,3224.17
717,658.175,3233.42
718,658.58,3248.42
719,658.986,3259.25
720,659.391,3263.92
721,659.796,3262.83
722,660.201,3264
723,660.606,3270.08
724,661.011,3265.75
725,661.416,3271.75
726,661.821,3290.17
727,662.225,3305.08
728,662.63,3320.17
729,663.034,3325.25
730,663.439,3332.5
731,663.843,3341.17
732,664.247,3348.17
733,664.651,3359.33
734,665.055,3370.58
735,665.459,3382.83
736,665.863,3391.75
737,666.267,3391.25
738,666.67,3399.33
739,667.074,3414.58
740,667.477,3425.92
741,667.88,3435.17
742,668.283,3449.17
743,668.687,3467.58
744,669.09,3471.75
745,669.492,3480.58
746,669.895,3490.58
747,670.298,3492.5
748,670.701,3497.42
749,671.103,3499.17
750,671.505,3510.5
751,671.908,3514.92
752,672.31,3516.92
753,672.712,3535
754,673.114,3548.75
755,673.516,3562.5
756,673.918,3563.33
757,674.32,3567.42
758,674.721,3581.58
759,675.123,3584.5
760,675.524,3586
761,675.926,3590.83
762,676.327,3599.33
763,676.728,3611.75
764,677.129,3616.42
765,677.53,3638.25
766,677.931,3660.58
767,678.332,3673
768,678.732,3694.33
769,679.133,3698.83
770,679.533,3683.92
771,679.934,3670.08
772,680.334,3666.17
773,680.734,3677.75
774,681.134,3689
775,681.534,3705.42
776,681.934,3732.83
777,682.334,3757.42
778,682.733,3785.5
779,683.133,3807.83
780,683.532,3820.92
781,683.932,3828
782,684.331,3827.42
783,684.73,3822.83
784,685.129,3824.17
785,685.528,3832.58
786,685.927,3836.67
787,686.326,3838
788,686.725,3838.58
789,687.123,3840.5
790,687.522,3847.5
791,687.92,3860.17
792,688.319,3873
793,688.717,3891.42
794,689.115,3911
795,689.513,3923.58
796,689.911,3934.17
797,690.309,3951.17
798,690.706,3967.92
799,691.104,3980.75
800,691.501,4001.5
801,691.899,4009.83
802,692.296,4007
803,692.693,4008.25
804,693.09,4009.75
805,693.488,4019.5
806,693.884,4035.75
807,694.281,4037.25
808,694.678,4033.83
809,695.075,4037.33
810,695.471,4043.75
811,695.868,4042.17
812,696.264,4041
813,696.66,4049.92
814,697.056,4062.75
815,697.452,4069.42
816,697.848,4083.58
817,698.244,4095.67
818,698.64,4099.25
819,699.035,4107.08
820,699.431,4114.75
821,699.826,4127.92
822,700.222,4137.83
823,700.617,4147.33
824,701.012,4148.08
825,701.407,4149.75
826,701.802,4165.67
827,702.197,4189.67
828,702.592,4198.67
829,702.986,4206.83
830,703.381,4232.83
831,703.775,4250.58
832,704.17,4256.17
833,704.564,4249.83
834,704.958,4237.5
835,705.352,4235.17
836,705.746,4233.5
837,706.14,4237.42
838,706.533,4252.25
839,706.927,4260.83
840,707.321,4269.83
841,707.714,4294.75
842,708.107,4305.92
843,708.501,4292
844,708.894,4276.67
845,709.287,4261.75
846,709.68,4256.92
847,710.073,4256.67
848,710.465,4248.25
