Pixel,Wavelength (nm),Intensity (a.u.)
Pixel,Wavelength,Intensity
1291,874.179,3092.67
1292,874.524,3102.25
1293,874.869,3109.75
1294,875.215,3112.08
1295,875.56,3110.5
1296,875.905,3099.58
1297,876.25,3088.67
1298,876.594,3084.5
1299,876.939,3083.92
1300,877.283,3079.08
1301,877.628,3065.25
1302,877.972,3056
1303,878.316,3049.75
1304,878.66,3034.83
1305,879.004,3013
1306,879.348,2995.42
1307,879.692,2984.25
1308,880.035,2976.17
1309,880.379,2969.08
1310,880.722,2963.58
1311,881.066,2963.25
1312,881.409,2963.5
1313,881.752,2962
1314,882.095,2959.33
1315,882.438,2958.75
1316,882.78,2967.75
1317,883.123,2966.92
1318,883.465,2956.75
1319,883.808,2955.42
1320,884.15,2951.83
1321,884.492,2951.5
1322,884.834,2946.75
1323,885.176,2935.33
1324,885.518,2928.17
1325,885.859,2926.58
1326,886.201,2920.75
1327,886.542,2912.75
1328,886.884,2908.58
1329,887.225,2906.5
1330,887.566,2907.25
1331,887.907,2914.92
1332,888.248,2915.17
1333,888.589,2908.83
1334,888.929,2908.42
1335,889.27,2899.5
1336,889.61,2883.33
1337,889.951,2875.83
1338,890.291,2871.92
1339,890.631,2866.25
1340,890.971,2862.42
1341,891.311,2851.75
1342,891.65,2842.08
1343,891.99,2838.5
1344,892.329,2833
1345,892.669,2826.17
1346,893.008,2817.58
1347,893.347,2808.17
1348,893.686,2802.67
1349,894.025,2791.67
1350,894.364,2777.83
1351,894.703,2770.67
1352,895.041,2770.67
1353,895.38,2781
1354,895.718,2789.42
1355,896.056,2789.25
1356,896.395,2785.92
1357,896.733,2780.58
1358,897.071,2779.08
1359,897.408,2769.25
1360,897.746,2759.75
1361,898.084,2774.08
1362,898.421,2787.75
1363,898.758,2783.17
1364,899.095,2776.08
1365,899.433,2767
1366,899.77,2756.33
1367,900.106,2749.83
1368,900.443,2744.83
1369,900.78,2740.83
1370,901.116,2732.92
1371,901.453,2726.42
1372,901.789,2718.67
1373,902.125,2711.67
1374,902.461,2707
1375,902.797,2696.33
1376,903.133,2687.33
1377,903.469,2680.17
1378,903.804,2679.58
1379,904.14,2686.33
1380,904.475,2683.67
1381,904.81,2677.58
1382,905.146,2669.17
1383,905.481,2659.58
1384,905.815,2661.75
1385,906.15,2656.08
1386,906.485,2641.5
1387,906.819,2629.25
1388,907.154,2616.25
1389,907.488,2608.42
1390,907.822,2608.58
1391,908.156,2607.25
1392,908.49,2608
1393,908.824,2600.25
1394,909.158,2590.92
1395,909.492,2587.92
1396,909.825,2583.17
1397,910.159,2583.67
1398,910.492,2587.75
1399,910.825,2588.67
1400,911.158,2590.58
1401,911.491,2588.42
1402,911.824,2581.83
1403,912.157,2579.42
1404,912.489,2580.92
1405,912.822,2581.5
1406,913.154,2571.08
1407,913.486,2553.67
1408,913.818,2543.17
1409,914.15,2539.67
1410,914.482,2524.58
1411,914.814,2511.92
1412,915.146,2510.5
1413,915.477,2503.75
1414,915.809,2503.17
1415,916.14,2504.75
1416,916.471,2506.67
1417,916.802,2501.75
1418,917.133,2493.33
1419,917.464,2483.75
1420,917.795,2477.92
1421,918.125,2476.75
1422,918.456,2464.58
1423,918.786,2452.58
1424,919.116,2443.67
1425,919.446,2435.67
1426,919.776,2431.42
1427,920.106,2424.42
1428,920.436,2416.75
1429,920.766,2412.83
1430,921.095,2409.75
1431,921.425,2401.83
1432,921.754,2391.67
1433,922.083,2388.25
1434,922.412,2390.75
1435,922.741,2386.25
1436,923.07,2381.5
1437,923.399,2371.25
1438,923.727,2354.17
1439,924.056,2340.5
1440,924.384,2328.83
1441,924.713,2313.67
1442,925.041,2303.75
1443,925.369,2304.33
1444,925.697,2297.92
1445,926.024,2282
1446,926.352,2274.25
1447,926.68,2270.92
1448,927.007,2264.83
1449,927.334,2261.17
1450,927.662,2262.25
1451,927.989,2267.25
1452,928.316,2276.25
1453,928.643,2275.25
1454,928.969,2271.42
1455,929.296,2276.58
1456,929.622,2276.83
1457,929.949,2268.33
1458,930.275,2257.5
1459,930.601,2248.58
1460,930.927,2240.83
1461,931.253,2231.75
1462,931.579,2218.5
1463,931.905,2205.92
1464,932.23,2200
1465,932.556,2196.17
1466,932.881,2189.58
1467,933.206,2179.17
1468,933.531,2165.25
1469,933.856,2156.67
1470,934.181,2151.25
1471,934.506,2144.08
1472,934.83,2136.58
1473,935.155,2124.25
1474,935.479,2118.33
1475,935.803,2118.67
1476,936.128,2118.58
1477,936.452,2119.92
1478,936.775,2116.42
1479,937.099,2105.42
1480,937.423,2093.75
1481,937.746,2087.5
1482,938.07,2084.08
1483,938.393,2082.17
1484,938.716,2082.58
1485,939.039,2075.33
1486,939.362,2065.58
1487,939.685,2064.58
1488,940.008,2062.17
1489,940.331,2055.92
1490,940.653,2048.42
1491,940.975,2038
1492,941.298,2028
1493,941.62,2015
1494,941.942,2000.83
1495,942.264,1989
1496,942.585,1986
1497,942.907,1983.83
1498,943.229,1977.5
1499,943.55,1969
1500,943.871,1956.58
1501,944.192,1952.58
1502,944.513,1952.83
1503,944.834,1948.17
1504,945.155,1943.42
1505,945.476,1934.25
1506,945.796,1921.08
1507,946.117,1904.17
1508,946.437,1877.58
1509,946.757,1847.42
1510,947.078,1822
1511,947.398,1804.92
1512,947.717,1799.67
1513,948.037,1801.33
1514,948.357,1809.17
1515,948.676,1819.17
1516,948.996,1823.42
1517,949.315,1831.42
1518,949.634,1839.58
1519,949.953,1842.83
1520,950.272,1843.33
1521,950.591,1838.67
1522,950.909,1828.67
1523,951.228,1823.33
1524,951.546,1818.5
1525,951.865,1810
1526,952.183,1798.08
1527,952.501,1786.67
1528,952.819,1784.33
1529,953.137,1780.83
1530,953.454,1779.25
1531,953.772,1778.83
1532,954.089,1773.67
1533,954.407,1767.83
1534,954.724,1761.42
1535,955.041,1752.75
1536,955.358,1743
1537,955.675,1732.92
1538,955.992,1724.75
1539,956.308,1720.58
1540,956.625,1714.25
1541,956.941,1708.67
1542,957.257,1702.42
1543,957.574,1695.83
1544,957.89,1692
1545,958.206,1684.83
1546,958.521,1679.58
1547,958.837,1677.75
1548,959.152,1673.17
1549,959.468,1665.42
1550,959.783,1657.5
1551,960.098,1646.33
1552,960.413,1634.83
1553,960.728,1624.25
1554,961.043,1617.92
1555,961.358,1618.08
1556,961.672,1618.08
1557,961.987,1614.08
1558,962.301,1607.92
1559,962.615,1604.67
1560,962.93,1596
1561,963.244,1587.17
1562,963.557,1584.58
1563,963.871,1580.5
1564,964.185,1578.25
1565,964.498,1576.67
1566,964.812,1574.25
1567,965.125,1568.33
1568,965.438,1557.83
1569,965.751,1549.17
1570,966.064,1544.92
1571,966.377,1542.25
1572,966.689,1541
1573,967.002,1537.75
1574,967.314,1530.5
1575,967.626,1524.33
1576,967.939,1518.33
1577,968.251,1515.75
1578,968.563,1511.08
1579,968.874,1507.67
1580,969.186,1507.83
1581,969.498,1501
1582,969.809,1492.75
1583,970.12,1486.42
1584,970.431,1479.58
1585,970.743,1475.75
1586,971.053,1467.83
1587,971.364,1466.33
1588,971.675,1469.08
1589,971.986,1463.33
1590,972.296,1456.08
1591,972.606,1451.92
1592,972.917,1450.42
1593,973.227,1444.67
1594,973.537,1433.75
1595,973.847,1424
1596,974.156,1417
1597,974.466,1414.42
1598,974.775,1409.42
1599,975.085,1399
1600,975.394,1389.92
1601,975.703,1383.83
1602,976.012,1379.17
1603,976.321,1375.25
1604,976.63,1370.5
1605,976.938,1366
1606,977.247,1361.33
1607,977.555,1354.08
1608,977.863,1347.67
1609,978.172,1341.58
1610,978.48,1334.25
1611,978.787,1327.17
1612,979.095,1317.67
1613,979.403,1310.33
1614,979.71,1304.75
1615,980.018,1302.17
1616,980.325,1295.92
1617,980.632,1287
1618,980.939,1285.42
1619,981.246,1282.5
1620,981.553,1278.58
1621,981.86,1281.08
1622,982.166,1278.17
1623,982.473,1270.33
1624,982.779,1265.67
1625,983.085,1261
1626,983.391,1253.67
1627,983.697,1248.33
1628,984.003,1242.58
1629,984.309,1232.08
1630,984.614,1224.67
1631,984.92,1220
1632,985.225,1213.67
1633,985.53,1207.5
1634,985.835,1205.33
1635,986.14,1203
1636,986.445,1196.75
1637,986.75,1189.83
1638,987.054,1181.92
1639,987.359,1178.25
1640,987.663,1174.42
1641,987.967,1166.33
1642,988.271,1158.17
1643,988.575,1151
1644,988.879,1142.92
1645,989.183,1132.25
1646,989.487,1121.17
1647,989.79,1112.83
1648,990.093,1106.25
1649,990.397,1100.42
1650,990.7,1095.92
1651,991.003,1092.17
1652,991.306,1085.67
1653,991.608,1077.42
1654,991.911,1071.75
1655,992.213,1063.75
1656,992.516,1057.5
1657,992.818,1050.83
1658,993.12,1041
1659,993.422,1032.83
1660,993.724,1024.75
1661,994.026,1019.33
1662,994.327,1013.17
1663,994.629,1008.58
1664,994.93,1005.42
1665,995.232,1001
1666,995.533,993.417
1667,995.834,987.833
1668,996.135,984.583
1669,996.435,976.833
1670,996.736,967.917
1671,997.036,962.25
1672,997.337,957.75
1673,997.637,953.5
1674,997.937,948.333
1675,998.237,941.25
1676,998.537,933.833
1677,998.837,928.833
1678,999.137,924.25
1679,999.436,917.667
1680,999.735,913.417
1681,1000.03,909.417
1682,1000.33,906.333
1683,1000.63,902.667
1684,1000.93,896.583
1685,1001.23,890.333
1686,1001.53,885.25
1687,1001.83,880.667
1688,1002.13,875.583
1689,1002.42,870.5
1690,1002.72,867.833
1691,1003.02,863.833
1692,1003.32,858.75
1693,1003.62,856.333
1694,1003.91,853.417
1695,1004.21,850.667
1696,1004.51,847.917
1697,1004.81,843.917
1698,1005.1,840.5
1699,1005.4,838.667
1700,1005.7,835.167
1701,1005.99,832
1702,1006.29,829.083
1703,1006.59,827.083
1704,1006.88,824.25
1705,1007.18,822.417
1706,1007.48,821.5
1707,1007.77,817.583
1708,1008.07,813.917
1709,1008.36,810.167
1710,1008.66,806.5
1711,1008.95,804
1712,1009.25,802.75
1713,1009.55,799.417
1714,1009.84,795.917
1715,1010.14,792.083
1716,1010.43,790.25
1717,1010.73,787.667
1718,1011.02,782.667
1719,1011.31,780.417
1720,1011.61,779.5
1721,1011.9,776.5
1722,1012.2,773
1723,1012.49,771.5
1724,1012.79,771.333
1725,1013.08,769.583
1726,1013.37,767.333
1727,1013.67,761.333
1728,1013.96,757.5
1729,1014.25,756.667
1730,1014.55,754.417
1731,1014.84,752
1732,1015.13,751.25
1733,1015.42,750.5
1734,1015.72,748.667
1735,1016.01,745.75
1736,1016.3,742.75
1737,1016.59,740.75
1738,1016.89,739.5
1739,1017.18,737.333
1740,1017.47,733.25
1741,1017.76,729.25
1742,1018.05,726.333
1743,1018.35,725.583
1744,1018.64,724.917
1745,1018.93,724.75
1746,1019.22,723.833
1747,1019.51,722.417
1748,1019.8,719.75
1749,1020.09,718.333
1750,1020.38,717.083
1751,1020.67,714.667
1752,1020.96,712.167
1753,1021.25,710.917
1754,1021.54,709.583
1755,1021.83,707.917
1756,1022.12,707.25
1757,1022.41,704.167
1758,1022.7,703.167
1759,1022.99,705.5
1760,1023.28,706.417
1761,1023.57,704.75
1762,1023.86,703.25
1763,1024.15,702.083
1764,1024.44,700.25
1765,1024.73,698.083
1766,1025.02,696.667
1767,1025.3,695.75
1768,1025.59,694.333
1769,1025.88,694.667
1770,1026.17,695.167
1771,1026.46,693.417
1772,1026.74,693.333
1773,1027.03,693.833
1774,1027.32,693
1775,1027.61,692.833
1776,1027.89,692.25
1777,1028.18,691.833
1778,1028.47,692
1779,1028.76,691.417
1780,1029.04,692
1781,1029.33,692.167
1782,1029.62,691.5
1783,1029.9,693.25
1784,1030.19,693
1785,1030.47,690.833
1786,1030.76,688.917
1787,1031.05,687.833
1788,1031.33,687.167
1789,1031.62,687.167
1790,1031.9,688.333
1791,1032.19,688.5
1792,1032.47,689.75
1793,1032.76,690.75
1794,1033.04,689.75
1795,1033.33,687.333
1796,1033.61,685.583
1797,1033.9,684.667
1798,1034.18,685.75
1799,1034.47,687.083
1800,1034.75,688.25
1801,1035.04,687.917
1802,1035.32,689.333
1803,1035.6,689.917
1804,1035.89,688.667
1805,1036.17,689.583
1806,1036.45,687.75
1807,1036.74,686.25
1808,1037.02,687.833
1809,1037.3,686.833
1810,1037.59,685.833
1811,1037.87,687.083
1812,1038.15,687.25
1813,1038.44,686.917
1814,1038.72,687.083
1815,1039,686.333
1816,1039.28,686.25
1817,1039.56,687.75
1818,1039.85,687.333
1819,1040.13,686.167
1820,1040.41,684.75
1821,1040.69,683.5
1822,1040.97,684.417
1823,1041.25,685.25
1824,1041.54,685.667
1825,1041.82,685.083
1826,1042.1,685.5
1827,1042.38,685.167
1828,1042.66,684.25
1829,1042.94,686.167
1830,1043.22,688.833
1831,1043.5,689.167
1832,1043.78,690.417
1833,1044.06,690.083
1834,1044.34,689.083
1835,1044.62,688.333
1836,1044.9,686.75
1837,1045.18,687.333
1838,1045.46,688.083
1839,1045.74,686.25
1840,1046.02,683.583
1841,1046.3,682.833
1842,1046.58,683.583
1843,1046.85,687.5
1844,1047.13,688.833
1845,1047.41,686.25
1846,1047.69,686.667
1847,1047.97,686.667
1848,1048.25,684.667
1849,1048.52,683.75
1850,1048.8,684.5
1851,1049.08,683.833
1852,1049.36,683.25
1853,1049.63,684.083
1854,1049.91,686.417
1855,1050.19,686.917
1856,1050.47,686
1857,1050.74,686.583
1858,1051.02,687.083
1859,1051.3,685.75
1860,1051.57,683.917
1861,1051.85,683.917
1862,1052.13,682.917
1863,1052.4,682.75
1864,1052.68,684
1865,1052.95,685.5
1866,1053.23,686.75
1867,1053.51,688.417
1868,1053.78,689.25
1869,1054.06,688.25
1870,1054.33,686.667
1871,1054.61,685.667
1872,1054.88,684.833
1873,1055.16,684.583
1874,1055.43,685
1875,1055.71,685.167
1876,1055.98,684.5
1877,1056.25,684.667
1878,1056.53,685.5
1879,1056.8,685.667
1880,1057.08,686.5
1881,1057.35,687.417
1882,1057.62,688.5
1883,1057.9,688.5
1884,1058.17,687.083
1885,1058.45,686.167
1886,1058.72,686.083
1887,1058.99,685.5
1888,1059.26,685
1889,1059.54,685.25
1890,1059.81,684.083
1891,1060.08,684.333
1892,1060.35,685.333
1893,1060.63,685.333
1894,1060.9,683.75
1895,1061.17,683.167
1896,1061.44,684
1897,1061.71,683.417
1898,1061.99,683.75
1899,1062.26,684.833
1900,1062.53,685.417
1901,1062.8,684.25
1902,1063.07,683.833
1903,1063.34,683.583
1904,1063.61,684.083
1905,1063.88,685.833
1906,1064.15,685.917
1907,1064.42,685.333
1908,1064.7,684.417
1909,1064.97,683.5
1910,1065.24,683.667
1911,1065.51,683.417
1912,1065.78,682.917
1913,1066.04,683.667
1914,1066.31,685.417
1915,1066.58,687.833
1916,1066.85,687.75
1917,1067.12,686
1918,1067.39,683.917
1919,1067.66,682.833
1920,1067.93,683.083
1921,1068.2,683.333
1922,1068.47,684.833
1923,1068.73,686.25
1924,1069,685.25
1925,1069.27,685.333
1926,1069.54,685.75
1927,1069.81,685.167
1928,1070.07,686.333
1929,1070.34,687.333
1930,1070.61,685.917
1931,1070.88,684.917
1932,1071.14,683.917
1933,1071.41,684.083
1934,1071.68,684.417
1935,1071.94,682.667
1936,1072.21,682.583
1937,1072.48,683.5
1938,1072.74,685.167
1939,1073.01,686.25
1940,1073.28,686.75
1941,1073.54,687.833
1942,1073.81,687.75
1943,1074.07,686.583
1944,1074.34,685.75
1945,1074.6,684.417
1946,1074.87,683.583
1947,1075.13,683.833
1948,1075.4,684.833
1949,1075.66,685.583
1950,1075.93,684.417
1951,1076.19,683.667
1952,1076.46,684.583
1953,1076.72,684.917
1954,1076.99,684.167
1955,1077.25,682.583
1956,1077.52,680.583
1957,1077.78,680.75
1958,1078.04,682.667
1959,1078.31,683.5
1960,1078.57,682.667
1961,1078.83,682.167
1962,1079.1,682.583
1963,1079.36,684.333
1964,1079.62,684.5
1965,1079.89,684.5
1966,1080.15,683.5
1967,1080.41,683.417
1968,1080.67,683.417
1969,1080.94,682.25
1970,1081.2,683.333
1971,1081.46,684.917
1972,1081.72,683.833
1973,1081.98,682.5
1974,1082.24,683.833
1975,1082.51,685.25
1976,1082.77,685.25
1977,1083.03,683.917
1978,1083.29,683.5
1979,1083.55,683.083
1980,1083.81,681.667
1981,1084.07,680.583
1982,1084.33,680.75
1983,1084.59,682.5
1984,1084.85,683.5
1985,1085.11,683.083
1986,1085.37,683.75
1987,1085.63,685.5
1988,1085.89,685.833
1989,1086.15,685.583
1990,1086.41,688.167
1991,1086.67,687.167
1992,1086.93,685.5
1993,1087.19,685.5
1994,1087.45,686.167
1995,1087.71,685.667
1996,1087.97,685.167
1997,1088.23,685.167
1998,1088.48,685.667
1999,1088.74,685.667
2000,1089,684.167
2001,1089.26,680.667
2002,1089.52,680.25
2003,1089.77,681.667
2004,1090.03,680.833
2005,1090.29,678.917
2006,1090.55,681
2007,1090.8,683.75
2008,1091.06,684.417
2009,1091.32,683.667
2010,1091.57,682.917
2011,1091.83,681.833
2012,1092.09,682.75
2013,1092.34,684.583
2014,1092.6,684.917
2015,1092.86,684.75
2016,1093.11,684.667
2017,1093.37,684.333
2018,1093.62,685.25
2019,1093.88,685.333
2020,1094.13,685.083
2021,1094.39,685.583
2022,1094.65,684.75
2023,1094.9,684.833
2024,1095.16,685.083
2025,1095.41,685.083
2026,1095.66,684.75
2027,1095.92,682.75
2028,1096.17,681.583
2029,1096.43,680.083
2030,1096.68,679.333
2031,1096.94,680.333
2032,1097.19,679.667
2033,1097.44,680.5
2034,1097.7,683.417
2035,1097.95,685.583
2036,1098.2,685.75
2037,1098.46,686.333
2038,1098.71,687.833
2039,1098.96,687
2040,1099.22,684.917
2041,1099.47,683.917
2042,1099.72,680.917
2043,1099.97,679.583
2044,1100.23,683
2045,1100.48,684.417
2046,1100.73,684.583
2047,1100.98,689.833
