time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,382	0,058	0,157
0,1	0,538	0,528	0,315
0,2	0,705	0,482	-0,157
0,3	0,800	-0,140	-0,157
0,4	0,760	-0,667	0,472
0,5	0,608	-0,623	0,647
0,6	0,461	-0,344	0,420
0,7	0,465	-0,342	0,157
0,8	0,681	-0,397	0,000
0,9	1,017	0,099	0,000
1,0	1,280	0,988	0,157
1,1	1,314	1,244	0,315
1,2	1,125	0,363	0,157
1,3	0,884	-0,696	0,157
1,4	0,800	-0,608	0,000
1,5	0,945	0,506	0,000
1,6	1,197	1,132	0,157
1,7	1,339	0,362	0,192
1,8	1,244	-0,868	0,192
1,9	0,982	-1,038	0,157
2,0	0,759	-0,072	0,070
2,1	0,733	0,635	0,017
2,2	0,880	0,154	0,157
2,3	1,016	-0,808	0,297
2,4	0,966	-1,011	0,157
2,5	0,721	-0,358	0,105
2,6	0,445	0,161	0,140
2,7	0,328	-0,040	0,157
2,8	0,422	-0,429	0,157
2,9	0,603	-0,283	0,157
3,0	0,689	0,267	0,157
3,1	0,599	0,531	0,140
3,2	0,410	0,289	0,157
3,3	0,271	0,020	0,157
3,4	0,270	0,133	0,157
3,5	0,363	0,426	0,157
3,6	0,438	0,485	0,157
3,7	0,421	0,299	0,157
3,8	0,338	0,185	0,157
3,9	0,268	0,273	0,157
4,0	0,264	0,353	0,157
4,1	0,304	0,252	0,157
4,2	0,326	0,079	0,157
4,3	0,292	0,022	0,157
4,4	0,222	0,063	0,157
4,5	0,166	0,052	0,157
4,6	0,150	-0,039	0,157
4,7	0,158	-0,098	0,157
4,8	0,157	-0,065	0,157
4,9	0,132	-0,015	0,157
5,0	0,103	-0,026	0,157
5,1	0,095	-0,075	0,157
5,2	0,114	-0,100	0,157
5,3	0,134	-0,102	0,157
5,4	0,128	-0,106	0,157
5,5	0,093	-0,090	0,157
5,6	0,057	-0,025	0,140
5,7	0,050	0,045	0,157
5,8	0,077	0,037	0,157
5,9	0,113	-0,052	0,157
6,0	0,127	-0,120	0,157
6,1	0,106	-0,087	0,157
6,2	0,070	0,003	0,157
6,3	0,047	0,041	0,157
6,4	0,052	-0,009	0,140
6,5	0,075	-0,076	0,157
6,6	0,093	-0,079	0,157
6,7	0,088	-0,017	0,157
6,8	0,063	0,040	0,157
6,9	0,034	0,039	0,157
7,0	0,021	-0,004	0,157
7,1	0,031	-0,025	0,157
7,2	0,060	0,019	0,157
7,3	0,097	0,093	0,157
7,4	0,134	0,105	0,157
7,5	0,164	0,008	0,157
7,6	0,180	-0,130	0,122
7,7	0,179	-0,178	0,157
7,8	0,157	-0,088	0,157
7,9	0,122	0,044	0,157
8,0	0,086	0,085	0,157
8,1	0,061	0,018	0,157
8,2	0,052	-0,050	0,157
8,3	0,055	-0,031	0,157
8,4	0,060	0,037	0,157
8,5	0,062	0,058	0,157
8,6	0,059	0,008	0,140
