depth[mm]	HF [V]	NF [V]	TGC [dB]
53,9	0,027	0,016	9,764
54,1	0,035	0,016	9,816
54,2	0,054	-0,043	9,764
54,3	0,088	-0,083	9,851
54,5	0,134	-0,003	9,834
54,6	0,184	0,153	9,851
54,8	0,230	0,202	9,816
54,9	0,270	0,029	9,904
55,0	0,301	-0,232	9,904
55,2	0,322	-0,316	9,921
55,3	0,326	-0,128	9,904
55,5	0,306	0,146	9,921
55,6	0,256	0,249	9,921
55,7	0,185	0,137	9,921
55,9	0,109	-0,016	9,921
56,0	0,054	-0,050	9,921
56,2	0,033	0,007	9,921
56,3	0,042	0,033	9,921
56,4	0,062	-0,014	9,921
56,6	0,073	-0,065	9,921
56,7	0,064	-0,058	9,921
56,9	0,042	-0,017	9,921
57,0	0,022	0,002	9,921
57,1	0,016	-0,010	9,921
57,3	0,024	-0,015	9,921
57,4	0,035	0,005	9,921
57,5	0,037	0,027	9,921
57,7	0,029	0,027	9,939
57,8	0,017	0,014	9,921
58,0	0,011	0,010	9,991
58,1	0,013	0,016	10,009
58,2	0,018	0,014	9,991
58,4	0,020	0,000	9,991
58,5	0,016	-0,010	10,079
58,7	0,009	-0,008	10,079
58,8	0,004	-0,003	10,079
58,9	0,004	-0,005	10,079
59,1	0,010	-0,011	10,044
59,2	0,015	-0,008	10,061
59,4	0,018	0,005	10,079
59,5	0,018	0,016	10,061
59,6	0,015	0,012	10,079
59,8	0,012	-0,001	10,079
59,9	0,010	-0,009	10,079
60,0	0,007	-0,007	10,079
60,2	0,005	-0,003	10,079
60,3	0,005	-0,004	10,079
60,5	0,007	-0,008	10,079
60,6	0,010	-0,008	10,079
60,7	0,013	-0,001	10,079
60,9	0,013	0,006	10,079
61,0	0,010	0,008	10,079
61,2	0,007	0,007	10,079
61,3	0,006	0,006	10,079
61,4	0,007	0,008	10,079
61,6	0,011	0,010	10,079
61,7	0,014	0,008	10,079
61,9	0,015	-0,001	10,114
62,0	0,014	-0,009	10,096
62,1	0,011	-0,012	10,184
62,3	0,008	-0,009	10,079
62,4	0,007	-0,006	10,096
62,5	0,009	-0,008	10,079
62,7	0,013	-0,011	10,114
62,8	0,018	-0,005	10,079
63,0	0,022	0,010	10,131
63,1	0,023	0,022	10,096
63,2	0,023	0,018	10,131
63,4	0,021	0,000	10,131
63,5	0,019	-0,016	10,236
