depth[mm]	HF [V]	NF [V]	TGC [dB]
-1,4	0,334	0,066	0,017
-1,3	0,476	0,474	0,210
-1,1	0,635	0,442	-0,157
-1,0	0,741	-0,112	-0,157
-0,8	0,733	-0,620	0,455
-0,7	0,616	-0,627	0,630
-0,6	0,490	-0,380	0,315
-0,4	0,485	-0,325	0,000
-0,3	0,671	-0,309	-0,157
-0,1	0,978	0,180	-0,140
0,0	1,232	0,993	0,000
0,1	1,277	1,200	0,157
0,3	1,100	0,349	0,140
0,4	0,856	-0,660	0,035
0,6	0,755	-0,580	-0,035
0,7	0,888	0,483	-0,105
0,8	1,152	1,094	0,000
1,0	1,328	0,367	0,157
1,1	1,258	-0,832	0,157
1,3	0,981	-1,051	0,000
1,4	0,704	-0,173	0,000
1,5	0,623	0,512	0,000
1,7	0,767	0,100	0,052
1,8	0,970	-0,803	0,157
1,9	1,024	-1,041	0,052
2,1	0,850	-0,453	0,000
2,2	0,560	0,108	0,000
2,4	0,352	0,061	0,017
2,5	0,339	-0,230	0,105
2,6	0,465	-0,162	0,087
2,8	0,573	0,234	0,000
2,9	0,546	0,458	0,000
3,1	0,401	0,315	0,000
3,2	0,257	0,116	0,035
3,3	0,215	0,155	0,000
3,5	0,277	0,331	0,000
3,6	0,361	0,392	0,000
3,8	0,385	0,309	0,000
3,9	0,340	0,246	0,000
4,0	0,278	0,269	0,000
4,2	0,254	0,282	0,000
4,3	0,272	0,210	0,035
4,4	0,290	0,106	0,000
4,6	0,272	0,049	0,000
4,7	0,220	0,032	0,000
4,9	0,169	0,006	0,000
5,0	0,147	-0,034	0,000
5,1	0,148	-0,061	0,000
5,3	0,146	-0,066	0,017
5,4	0,124	-0,062	0,000
5,6	0,095	-0,053	0,000
5,7	0,085	-0,046	0,035
5,8	0,106	-0,064	0,000
6,0	0,137	-0,113	0,000
6,1	0,149	-0,145	0,000
6,3	0,127	-0,105	0,000
6,4	0,087	-0,010	0,000
6,5	0,060	0,053	0,000
6,7	0,066	0,025	0,000
6,8	0,091	-0,056	0,000
6,9	0,108	-0,104	0,000
7,1	0,096	-0,077	0,000
7,2	0,061	-0,014	0,000
7,4	0,029	0,020	0,000
7,5	0,023	0,001	0,000
7,6	0,044	-0,046	0,017
7,8	0,073	-0,069	0,000
7,9	0,086	-0,039	0,035
8,1	0,073	0,019	0,000
8,2	0,045	0,049	0,000
8,3	0,023	0,023	0,000
8,5	0,021	-0,013	0,000
8,6	0,044	0,008	0,000
8,8	0,082	0,078	0,017
8,9	0,123	0,105	0,000
9,0	0,156	0,023	0,000
9,2	0,173	-0,113	0,000
9,3	0,171	-0,171	0,000
9,5	0,151	-0,097	0,000
9,6	0,117	0,027	0,000
9,7	0,080	0,076	0,000
9,9	0,052	0,029	0,000
10,0	0,038	-0,029	0,000
10,1	0,037	-0,025	0,000
10,3	0,042	0,022	0,000
10,4	0,045	0,044	0,000
10,6	0,044	0,015	0,000
10,7	0,039	-0,026	0,000
10,8	0,033	-0,033	0,000
11,0	0,029	-0,008	0,000
11,1	0,026	0,016	0,000
11,3	0,025	0,024	0,000
11,4	0,025	0,022	0,000
11,5	0,027	0,015	0,000
11,7	0,031	0,000	0,000
11,8	0,033	-0,022	0,000
12,0	0,032	-0,032	0,000
12,1	0,027	-0,019	0,017
12,2	0,018	0,003	0,000
12,4	0,010	0,009	0,000
12,5	0,007	-0,002	0,000
12,6	0,008	-0,008	0,000
12,8	0,012	0,003	0,000
12,9	0,016	0,015	0,017
13,1	0,018	0,006	0,000
13,2	0,021	-0,016	0,000
13,3	0,024	-0,021	0,000
13,5	0,028	0,002	0,000
13,6	0,031	0,028	0,000
13,8	0,031	0,024	0,000
13,9	0,027	-0,005	0,000
14,0	0,023	-0,023	0,017
14,2	0,021	-0,009	0,000
14,3	0,022	0,017	0,052
14,5	0,025	0,022	0,000
14,6	0,027	0,000	0,000
14,7	0,026	-0,021	0,000
14,9	0,021	-0,020	0,017
15,0	0,015	-0,002	0,000
15,2	0,010	0,008	0,017
15,3	0,006	0,003	0,000
15,4	0,004	-0,004	0,000
15,6	0,005	-0,003	0,000
15,7	0,006	0,005	0,052
15,8	0,008	0,005	0,000
16,0	0,010	-0,004	0,017
16,1	0,011	-0,011	0,000
16,3	0,009	-0,007	0,000
16,4	0,006	0,001	0,000
16,5	0,004	0,003	0,070
16,7	0,003	-0,002	0,000
16,8	0,006	-0,001	0,000
17,0	0,011	0,007	0,000
17,1	0,016	0,016	0,000
17,2	0,018	0,012	0,000
17,4	0,017	-0,001	0,000
17,5	0,013	-0,011	0,000
17,7	0,008	-0,008	0,017
17,8	0,004	-0,001	0,000
17,9	0,002	0,000	0,017
18,1	0,003	-0,003	0,000
18,2	0,008	0,002	0,000
18,3	0,016	0,015	0,000
18,5	0,024	0,021	0,035
18,6	0,029	0,007	0,000
18,8	0,030	-0,016	0,035
18,9	0,026	-0,026	0,000
19,0	0,019	-0,014	0,000
19,2	0,013	0,005	0,017
19,3	0,010	0,007	0,000
19,5	0,010	-0,007	0,000
19,6	0,014	-0,015	0,000
19,7	0,017	-0,004	0,000
19,9	0,020	0,013	0,052
20,0	0,020	0,019	0,000
20,2	0,018	0,007	0,000
20,3	0,014	-0,008	0,000
20,4	0,009	-0,010	0,017
20,6	0,006	-0,003	0,000
20,7	0,004	0,003	0,017
20,8	0,004	0,000	0,000
21,0	0,005	-0,006	0,000
21,1	0,007	-0,006	0,000
21,3	0,007	0,001	0,035
21,4	0,007	0,006	0,017
21,5	0,007	0,005	0,000
21,7	0,006	0,000	0,000
21,8	0,005	-0,003	0,000
22,0	0,003	-0,003	0,000
22,1	0,002	-0,002	0,035
22,2	0,002	-0,002	0,017
22,4	0,002	-0,002	0,000
22,5	0,003	0,001	0,000
22,7	0,004	0,004	0,035
22,8	0,005	0,004	0,000
22,9	0,004	0,001	0,000
23,1	0,004	-0,001	0,000
23,2	0,003	-0,002	0,017
23,4	0,002	-0,001	0,000
23,5	0,001	-0,001	0,000
23,6	0,002	-0,002	0,000
23,8	0,003	-0,001	0,035
23,9	0,005	0,003	0,000
24,0	0,007	0,007	0,017
24,2	0,008	0,005	0,000
24,3	0,008	-0,001	0,017
24,5	0,006	-0,005	0,000
24,6	0,004	-0,004	0,017
24,7	0,003	0,001	0,000
24,9	0,003	0,002	0,000
25,0	0,005	-0,002	0,000
25,2	0,006	-0,006	0,000
25,3	0,006	-0,005	0,000
25,4	0,005	0,000	0,105
25,6	0,003	0,003	0,000
25,7	0,002	0,002	0,000
25,9	0,001	0,000	0,000
26,0	0,002	0,000	0,017
26,1	0,003	0,001	0,000
26,3	0,004	0,000	0,035
26,4	0,005	-0,003	0,000
26,5	0,006	-0,006	0,035
26,7	0,006	-0,006	0,000
26,8	0,006	-0,003	0,035
27,0	0,005	0,000	0,000
27,1	0,005	0,003	0,000
27,2	0,005	0,005	0,000
27,4	0,006	0,006	0,017
27,5	0,006	0,005	0,017
27,7	0,006	0,003	0,087
27,8	0,005	0,000	0,000
27,9	0,003	-0,001	0,000
28,1	0,002	-0,001	0,000
28,2	0,002	0,000	0,017
28,4	0,002	0,000	0,000
28,5	0,003	0,000	0,000
28,6	0,003	-0,001	0,000
28,8	0,002	-0,001	0,070
28,9	0,002	0,000	0,000
29,1	0,002	0,000	0,000
29,2	0,002	0,000	0,000
29,3	0,003	0,000	0,017
29,5	0,004	-0,002	1,032
29,6	0,005	-0,004	3,465
29,7	0,004	-0,004	5,529
29,9	0,003	-0,003	6,964
30,0	0,003	-0,001	7,822
30,2	0,003	0,001	8,276
