depth[mm]	HF [V]	NF [V]	TGC [dB]
-2,6	0,446	0,122	0,017
-2,5	0,517	0,403	0,157
-2,4	0,575	0,236	-0,157
-2,2	0,616	-0,370	-0,157
-2,1	0,639	-0,807	0,630
-1,9	0,645	-0,540	0,630
-1,8	0,639	0,236	0,315
-1,7	0,625	0,806	0,000
-1,5	0,610	0,731	-0,157
-1,4	0,602	0,243	-0,035
-1,3	0,607	-0,164	0,000
-1,1	0,629	-0,299	0,315
-1,0	0,670	-0,291	0,157
-0,8	0,727	-0,218	-0,105
-0,7	0,798	0,041	0,000
-0,6	0,873	0,529	-0,017
-0,4	0,944	0,969	0,017
-0,3	1,001	0,956	0,122
-0,1	1,036	0,360	0,017
0,0	1,041	-0,505	0,017
0,1	1,014	-1,131	0,017
0,3	0,955	-1,212	0,122
0,4	0,868	-0,837	0,000
0,6	0,760	-0,349	0,157
0,7	0,641	-0,046	0,000
0,8	0,523	0,022	0,000
1,0	0,417	0,002	0,087
1,1	0,332	0,020	0,000
1,3	0,274	0,056	0,000
1,4	0,247	0,002	0,157
1,5	0,250	-0,176	0,000
1,7	0,280	-0,375	0,035
1,8	0,328	-0,448	0,000
1,9	0,388	-0,329	0,017
2,1	0,449	-0,074	0,105
2,2	0,502	0,200	0,000
2,4	0,539	0,396	0,000
2,5	0,557	0,486	0,017
2,6	0,552	0,494	0,000
2,8	0,524	0,451	0,000
2,9	0,477	0,366	0,000
3,1	0,414	0,237	0,000
3,2	0,343	0,095	0,000
3,3	0,269	-0,004	0,017
3,5	0,199	-0,031	0,000
3,6	0,137	-0,015	0,052
3,8	0,088	-0,007	0,000
3,9	0,052	-0,022	0,000
4,0	0,031	-0,033	0,000
4,2	0,022	-0,018	0,000
4,3	0,024	0,004	0,000
4,4	0,033	-0,001	0,017
4,6	0,046	-0,034	0,000
4,7	0,060	-0,063	0,000
4,9	0,073	-0,065	0,000
5,0	0,082	-0,053	0,000
5,1	0,087	-0,054	0,000
5,3	0,087	-0,069	0,000
5,4	0,083	-0,077	0,000
5,6	0,075	-0,059	0,000
5,7	0,065	-0,023	0,000
5,8	0,055	0,010	0,000
6,0	0,045	0,024	0,000
6,1	0,037	0,019	0,000
6,3	0,031	0,003	0,000
6,4	0,027	-0,015	0,035
6,5	0,026	-0,032	0,000
6,7	0,027	-0,043	0,000
6,8	0,029	-0,043	0,000
7,0	0,032	-0,028	0,000
7,1	0,035	-0,005	0,000
7,2	0,038	0,018	0,017
7,4	0,040	0,029	0,000
7,5	0,040	0,026	0,035
7,6	0,039	0,013	0,000
7,8	0,037	-0,005	0,017
7,9	0,034	-0,023	0,000
8,1	0,031	-0,031	0,000
8,2	0,027	-0,027	0,017
8,3	0,024	-0,010	0,000
8,5	0,021	0,008	0,000
8,6	0,018	0,017	0,000
8,8	0,016	0,015	0,000
8,9	0,016	0,009	0,000
9,0	0,015	0,004	0,000
9,2	0,016	-0,002	0,000
9,3	0,016	-0,010	0,000
9,5	0,017	-0,019	0,000
9,6	0,018	-0,020	0,000
9,7	0,019	-0,011	0,017
9,9	0,019	0,001	0,000
10,0	0,019	0,009	0,000
10,1	0,019	0,012	0,000
10,3	0,019	0,013	0,000
10,4	0,018	0,015	0,000
10,6	0,018	0,016	0,000
10,7	0,017	0,015	0,000
10,8	0,017	0,011	0,000
11,0	0,017	0,004	0,000
11,1	0,017	-0,004	0,017
11,3	0,018	-0,012	0,000
11,4	0,019	-0,018	0,035
11,5	0,019	-0,019	0,000
11,7	0,020	-0,013	0,000
11,8	0,021	-0,002	0,000
12,0	0,022	0,012	0,000
12,1	0,022	0,022	0,000
12,2	0,022	0,024	0,000
12,4	0,022	0,017	0,000
12,5	0,022	0,004	0,017
12,6	0,021	-0,008	0,000
12,8	0,021	-0,015	0,000
12,9	0,020	-0,017	0,000
13,1	0,020	-0,015	0,017
13,2	0,019	-0,010	0,000
13,3	0,019	-0,002	0,000
13,5	0,019	0,010	0,000
13,6	0,019	0,019	0,000
13,8	0,019	0,021	0,000
13,9	0,019	0,016	0,000
14,0	0,019	0,007	0,000
14,2	0,019	0,000	0,017
14,3	0,019	-0,006	0,000
14,5	0,018	-0,013	0,017
14,6	0,017	-0,018	0,000
14,7	0,016	-0,016	0,000
14,9	0,014	-0,006	0,000
15,0	0,012	0,005	0,000
15,2	0,011	0,011	0,000
15,3	0,009	0,008	0,000
15,4	0,007	0,002	0,000
15,6	0,005	0,000	0,000
15,7	0,004	0,001	0,000
15,8	0,003	0,001	0,017
16,0	0,003	-0,001	0,000
16,1	0,003	-0,003	0,000
16,3	0,004	-0,002	0,000
16,4	0,004	0,001	0,000
16,5	0,005	0,003	0,000
16,7	0,007	0,004	0,000
16,8	0,008	0,005	0,000
17,0	0,010	0,009	0,000
17,1	0,012	0,012	0,000
17,2	0,013	0,012	0,017
17,4	0,015	0,006	0,000
17,5	0,016	-0,003	0,035
17,7	0,017	-0,012	0,000
17,8	0,018	-0,017	0,000
17,9	0,019	-0,017	0,000
18,1	0,020	-0,009	0,000
18,2	0,021	0,003	0,000
18,3	0,021	0,015	0,000
18,5	0,022	0,022	0,000
18,6	0,022	0,020	0,000
18,8	0,022	0,009	0,000
18,9	0,023	-0,005	0,000
19,0	0,023	-0,017	0,000
19,2	0,023	-0,022	0,017
19,3	0,024	-0,018	0,000
19,5	0,024	-0,008	0,000
19,6	0,024	0,006	0,000
19,7	0,024	0,018	0,017
19,9	0,024	0,025	0,000
20,0	0,024	0,022	0,000
20,2	0,023	0,012	0,000
20,3	0,023	-0,002	0,052
20,4	0,022	-0,015	0,000
20,6	0,021	-0,020	0,000
20,7	0,021	-0,018	0,000
20,9	0,020	-0,008	0,035
21,0	0,019	0,004	0,000
21,1	0,018	0,014	0,000
21,3	0,018	0,018	0,000
21,4	0,017	0,016	0,000
21,5	0,016	0,009	0,000
21,7	0,016	0,001	0,035
21,8	0,016	-0,008	0,000
22,0	0,015	-0,014	0,017
22,1	0,015	-0,014	0,000
22,2	0,015	-0,008	0,000
22,4	0,015	0,001	0,000
22,5	0,014	0,010	0,000
22,7	0,014	0,014	0,000
22,8	0,014	0,014	0,000
22,9	0,013	0,011	0,000
23,1	0,013	0,005	0,035
23,2	0,013	-0,001	0,000
23,4	0,012	-0,006	0,017
23,5	0,011	-0,009	0,000
23,6	0,011	-0,009	0,035
23,8	0,010	-0,006	0,000
23,9	0,009	0,000	0,000
24,0	0,008	0,006	0,000
24,2	0,007	0,008	0,000
24,3	0,007	0,008	0,000
24,5	0,006	0,006	0,000
24,6	0,005	0,003	0,000
24,7	0,005	0,001	0,000
24,9	0,004	0,000	0,000
25,0	0,004	0,001	0,017
25,2	0,005	0,001	0,000
25,3	0,005	0,000	0,017
25,4	0,006	-0,003	0,000
25,6	0,007	-0,006	0,000
25,7	0,008	-0,008	0,000
25,9	0,009	-0,007	0,000
26,0	0,010	-0,005	0,000
26,1	0,011	-0,001	0,000
26,3	0,012	0,004	0,000
26,4	0,012	0,010	0,000
26,5	0,013	0,014	0,000
26,7	0,013	0,013	0,035
26,8	0,012	0,008	0,000
27,0	0,012	0,001	0,017
27,1	0,011	-0,006	0,000
27,2	0,011	-0,008	0,000
27,4	0,010	-0,007	0,000
27,5	0,009	-0,004	0,070
27,7	0,009	0,000	0,000
27,8	0,008	0,005	0,000
27,9	0,008	0,008	0,000
28,1	0,008	0,009	0,000
28,2	0,008	0,008	0,752
28,4	0,008	0,005	3,132
28,5	0,008	0,001	5,354
28,6	0,008	-0,003	6,772
28,8	0,008	-0,007	7,717
28,9	0,009	-0,008	8,206
29,1	0,009	-0,005	8,504
29,2	0,009	0,000	8,661
29,3	0,010	0,006	8,819
29,5	0,010	0,009	8,819
29,6	0,011	0,010	8,941
29,7	0,011	0,007	8,976
29,9	0,012	0,002	8,976
30,0	0,012	-0,005	8,976
30,2	0,013	-0,012	8,976
30,3	0,014	-0,015	8,976
30,4	0,015	-0,011	8,976
30,6	0,016	-0,003	8,976
30,7	0,017	0,008	8,976
30,9	0,019	0,017	9,116
31,0	0,020	0,019	9,064
31,1	0,022	0,014	9,134
31,3	0,024	0,004	9,046
31,4	0,026	-0,009	9,116
31,6	0,028	-0,022	9,116
31,7	0,030	-0,030	9,134
31,8	0,032	-0,030	9,116
32,0	0,034	-0,019	9,134
32,1	0,036	0,001	9,134
32,2	0,037	0,023	9,151
32,4	0,038	0,037	9,134
32,5	0,039	0,038	9,134
32,7	0,040	0,027	9,116
32,8	0,041	0,008	9,134
32,9	0,041	-0,013	9,116
33,1	0,041	-0,031	9,134
33,2	0,041	-0,041	9,134
33,4	0,041	-0,038	9,134
33,5	0,041	-0,023	9,134
33,6	0,042	0,002	9,134
33,8	0,042	0,026	9,134
33,9	0,042	0,040	9,134
34,1	0,043	0,041	9,134
34,2	0,043	0,027	9,134
34,3	0,044	0,003	9,134
34,5	0,045	-0,021	9,134
34,6	0,045	-0,039	9,134
34,8	0,045	-0,045	9,151
34,9	0,045	-0,037	9,134
35,0	0,045	-0,018	9,134
35,2	0,044	0,005	9,169
35,3	0,042	0,026	9,204
35,4	0,040	0,038	9,134
35,6	0,037	0,037	9,204
35,7	0,034	0,024	9,134
35,9	0,030	0,005	9,221
36,0	0,026	-0,012	9,151
36,1	0,022	-0,020	9,274
36,3	0,019	-0,020	9,256
36,4	0,016	-0,015	9,274
36,6	0,013	-0,008	9,256
36,7	0,011	-0,004	9,274
36,8	0,010	-0,002	9,274
37,0	0,010	-0,003	9,291
37,1	0,011	-0,005	9,291
37,3	0,013	-0,005	9,291
37,4	0,015	-0,001	9,291
37,5	0,017	0,008	9,291
37,7	0,020	0,018	9,291
37,8	0,023	0,025	9,291
37,9	0,025	0,024	9,291
38,1	0,027	0,016	9,291
38,2	0,029	0,002	9,291
38,4	0,029	-0,014	9,291
38,5	0,030	-0,026	9,291
38,6	0,029	-0,029	9,291
38,8	0,029	-0,022	9,291
38,9	0,028	-0,008	9,291
39,1	0,027	0,008	9,291
39,2	0,026	0,020	9,309
39,3	0,025	0,024	9,291
39,5	0,024	0,019	9,291
39,6	0,024	0,007	9,291
39,8	0,024	-0,008	9,344
39,9	0,025	-0,021	9,291
40,0	0,026	-0,026	9,344
40,2	0,027	-0,021	9,309
40,3	0,028	-0,006	9,414
40,4	0,030	0,012	9,396
40,6	0,031	0,027	9,449
40,7	0,033	0,032	9,431
40,9	0,034	0,026	9,449
41,0	0,034	0,011	9,414
41,1	0,034	-0,007	9,449
41,3	0,034	-0,022	9,431
41,4	0,034	-0,032	9,449
41,6	0,033	-0,033	9,431
41,7	0,032	-0,025	9,449
41,8	0,031	-0,011	9,449
42,0	0,030	0,005	9,449
42,1	0,029	0,018	9,449
42,3	0,028	0,025	9,449
42,4	0,027	0,026	9,449
42,5	0,027	0,024	9,449
42,7	0,028	0,019	9,449
42,8	0,029	0,011	9,449
43,0	0,030	0,000	9,449
43,1	0,032	-0,013	9,449
43,2	0,034	-0,025	9,449
43,4	0,036	-0,034	9,449
43,5	0,039	-0,039	9,449
43,6	0,041	-0,037	9,449
43,8	0,044	-0,028	9,449
43,9	0,046	-0,012	9,466
44,1	0,048	0,008	9,449
44,2	0,050	0,029	9,536
44,3	0,051	0,045	9,449
44,5	0,052	0,051	9,519
44,6	0,052	0,048	9,501
44,8	0,053	0,033	9,501
44,9	0,052	0,011	9,449
45,0	0,051	-0,013	9,554
45,2	0,050	-0,033	9,589
45,3	0,049	-0,044	9,606
45,5	0,047	-0,047	9,554
45,6	0,045	-0,041	9,606
45,7	0,043	-0,028	9,606
45,9	0,040	-0,011	9,606
46,0	0,037	0,006	9,606
46,1	0,035	0,020	9,606
46,3	0,032	0,028	9,606
46,4	0,029	0,029	9,606
46,6	0,027	0,025	9,606
46,7	0,025	0,018	9,606
46,8	0,022	0,009	9,606
