time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,386	0,065	0,157
0,1	0,547	0,535	0,315
0,2	0,716	0,477	-0,157
0,3	0,803	-0,152	-0,157
0,4	0,749	-0,667	0,472
0,5	0,588	-0,608	0,665
0,6	0,448	-0,342	0,437
0,7	0,473	-0,376	0,105
0,8	0,707	-0,453	0,000
0,9	1,047	0,059	0,000
1,0	1,295	0,980	0,157
1,1	1,309	1,247	0,315
1,2	1,110	0,359	0,175
1,3	0,876	-0,696	0,157
1,4	0,799	-0,593	0,000
1,5	0,935	0,513	0,000
1,6	1,158	1,090	0,157
1,7	1,273	0,285	0,192
1,8	1,183	-0,903	0,157
1,9	0,968	-0,966	0,157
2,0	0,812	0,073	0,000
2,1	0,832	0,752	0,052
2,2	0,971	0,187	0,157
2,3	1,052	-0,818	0,315
2,4	0,940	-0,996	0,157
2,5	0,670	-0,313	0,122
2,6	0,423	0,174	0,035
2,7	0,364	-0,099	0,157
2,8	0,503	-0,533	0,157
2,9	0,687	-0,367	0,157
3,0	0,742	0,231	0,157
3,1	0,615	0,523	0,140
3,2	0,411	0,286	0,157
3,3	0,283	0,022	0,157
3,4	0,302	0,149	0,157
3,5	0,406	0,452	0,157
3,6	0,475	0,510	0,157
3,7	0,443	0,320	0,157
3,8	0,348	0,206	0,157
3,9	0,274	0,288	0,157
4,0	0,271	0,356	0,157
4,1	0,311	0,247	0,157
4,2	0,329	0,081	0,157
4,3	0,291	0,034	0,157
4,4	0,220	0,075	0,157
4,5	0,169	0,056	0,157
4,6	0,159	-0,038	0,157
4,7	0,171	-0,093	0,157
4,8	0,166	-0,062	0,157
4,9	0,134	-0,023	0,157
5,0	0,096	-0,040	0,157
5,1	0,085	-0,074	0,157
5,2	0,107	-0,082	0,157
5,3	0,134	-0,089	0,157
5,4	0,138	-0,117	0,157
5,5	0,112	-0,114	0,157
5,6	0,082	-0,032	0,157
5,7	0,076	0,064	0,157
5,8	0,101	0,056	0,140
5,9	0,133	-0,058	0,157
6,0	0,143	-0,141	0,157
6,1	0,122	-0,092	0,157
6,2	0,086	0,020	0,140
6,3	0,064	0,056	0,157
6,4	0,070	-0,017	0,157
6,5	0,091	-0,095	0,157
6,6	0,105	-0,080	0,157
6,7	0,095	0,002	0,157
6,8	0,066	0,055	0,157
6,9	0,038	0,033	0,157
7,0	0,027	-0,020	0,140
7,1	0,041	-0,026	0,157
7,2	0,071	0,034	0,157
7,3	0,105	0,102	0,157
7,4	0,134	0,095	0,157
7,5	0,154	-0,006	0,157
7,6	0,162	-0,124	0,157
7,7	0,155	-0,154	0,157
7,8	0,132	-0,071	0,157
7,9	0,098	0,037	0,157
8,0	0,065	0,064	0,157
8,1	0,044	0,007	0,157
8,2	0,039	-0,040	0,140
8,3	0,046	-0,014	0,157
8,4	0,055	0,043	0,157
8,5	0,059	0,052	0,157
8,6	0,056	0,000	0,157
8,7	0,050	-0,045	0,157
8,8	0,043	-0,034	0,157
8,9	0,037	0,008	0,157
9,0	0,030	0,029	0,157
9,1	0,023	0,020	0,157
9,2	0,018	0,009	0,157
9,3	0,019	0,008	0,157
9,4	0,025	0,001	0,157
9,5	0,031	-0,021	0,157
9,6	0,033	-0,033	0,157
9,7	0,028	-0,018	0,157
9,8	0,019	0,007	0,140
9,9	0,012	0,010	0,157
10,0	0,010	-0,007	0,122
10,1	0,014	-0,012	0,157
10,2	0,019	0,006	0,157
10,3	0,022	0,021	0,157
10,4	0,022	0,006	0,157
10,5	0,023	-0,020	0,157
10,6	0,026	-0,021	0,157
10,7	0,031	0,009	0,157
10,8	0,034	0,033	0,157
10,9	0,033	0,022	0,157
11,0	0,028	-0,010	0,140
11,1	0,023	-0,023	0,157
11,2	0,020	-0,004	0,157
11,3	0,021	0,019	0,157
11,4	0,024	0,018	0,140
11,5	0,025	-0,005	0,157
11,6	0,023	-0,021	0,140
11,7	0,018	-0,015	0,157
11,8	0,012	0,000	0,157
11,9	0,007	0,007	0,157
12,0	0,005	0,002	0,105
12,1	0,004	-0,004	0,157
12,2	0,005	-0,001	0,157
12,3	0,006	0,005	0,157
12,4	0,007	0,006	0,157
12,5	0,009	-0,001	0,157
12,6	0,010	-0,008	0,157
12,7	0,009	-0,009	0,157
12,8	0,007	-0,003	0,157
12,9	0,005	0,002	0,157
13,0	0,004	0,001	0,122
13,1	0,005	0,001	0,157
13,2	0,010	0,006	0,122
13,3	0,015	0,014	0,157
13,4	0,018	0,016	0,157
13,5	0,020	0,006	0,157
13,6	0,018	-0,009	0,157
13,7	0,015	-0,014	0,157
13,8	0,011	-0,008	0,157
13,9	0,007	0,001	0,157
14,0	0,006	0,004	0,157
14,1	0,007	0,006	0,157
14,2	0,012	0,011	0,157
14,3	0,018	0,016	0,157
14,4	0,023	0,009	0,157
14,5	0,025	-0,009	1,330
14,6	0,023	-0,021	3,465
14,7	0,017	-0,015	5,197
14,8	0,011	0,002	6,299
14,9	0,008	0,006	6,929
15,0	0,009	-0,006	7,402
15,1	0,014	-0,015	7,577
15,2	0,021	-0,005	7,804
15,3	0,026	0,017	7,874
15,4	0,028	0,027	7,927
15,5	0,026	0,015	8,031
15,6	0,020	-0,005	8,031
15,7	0,013	-0,011	8,189
15,8	0,008	-0,006	8,189
15,9	0,007	-0,003	8,189
16,0	0,007	-0,008	8,189
16,1	0,010	-0,011	8,311
16,2	0,011	-0,005	8,346
16,3	0,011	0,006	8,346
16,4	0,009	0,008	8,346
16,5	0,006	0,003	8,399
16,6	0,005	-0,002	8,504
16,7	0,006	-0,001	8,504
16,8	0,009	-0,002	8,504
16,9	0,013	-0,010	8,504
17,0	0,015	-0,016	8,504
17,1	0,017	-0,011	8,661
17,2	0,017	0,003	8,609
17,3	0,015	0,013	8,661
17,4	0,011	0,009	8,661
17,5	0,008	-0,001	8,661
17,6	0,005	-0,005	8,731
17,7	0,004	-0,003	8,819
17,8	0,004	-0,001	8,801
17,9	0,005	-0,005	8,819
18,0	0,007	-0,008	8,819
18,1	0,010	-0,004	8,854
18,2	0,012	0,006	8,836
18,3	0,013	0,012	8,976
18,4	0,012	0,008	8,976
18,5	0,010	-0,001	8,976
18,6	0,007	-0,006	8,976
18,7	0,004	-0,004	9,064
18,8	0,003	0,000	9,134
18,9	0,004	-0,001	9,134
19,0	0,007	-0,006	9,134
19,1	0,011	-0,011	9,151
19,2	0,013	-0,011	9,134
19,3	0,013	-0,006	9,274
19,4	0,011	0,002	9,291
19,5	0,010	0,007	9,291
19,6	0,009	0,009	9,291
19,7	0,009	0,008	9,344
19,8	0,010	0,003	9,396
19,9	0,011	-0,003	9,449
20,0	0,012	-0,009	9,449
20,1	0,013	-0,013	9,449
20,2	0,014	-0,013	9,449
20,3	0,015	-0,008	9,519
20,4	0,015	-0,001	9,606
20,5	0,014	0,007	9,606
20,6	0,013	0,011	9,606
20,7	0,012	0,012	9,624
20,8	0,011	0,010	9,624
20,9	0,011	0,004	9,764
21,0	0,011	-0,003	9,764
21,1	0,010	-0,008	9,764
21,2	0,009	-0,009	9,764
21,3	0,007	-0,006	9,764
21,4	0,005	-0,003	9,816
21,5	0,005	-0,002	9,921
21,6	0,005	-0,002	9,921
21,7	0,006	-0,001	9,921
21,8	0,008	0,003	9,939
21,9	0,009	0,007	10,079
22,0	0,010	0,009	10,079
22,1	0,010	0,005	10,079
22,2	0,012	-0,005	10,079
22,3	0,013	-0,012	10,166
22,4	0,014	-0,013	10,236
22,5	0,015	-0,008	10,236
22,6	0,015	-0,001	10,236
22,7	0,015	0,004	10,236
22,8	0,015	0,008	10,236
22,9	0,017	0,013	10,289
23,0	0,018	0,018	10,394
23,1	0,019	0,018	10,394
23,2	0,018	0,013	10,394
23,3	0,016	0,007	10,411
23,4	0,014	0,001	10,411
23,5	0,013	-0,003	10,551
23,6	0,015	-0,008	10,534
23,7	0,017	-0,014	10,551
23,8	0,018	-0,018	10,551
23,9	0,018	-0,014	10,604
24,0	0,016	-0,006	10,621
24,1	0,015	0,001	10,709
24,2	0,015	0,006	10,709
24,3	0,016	0,011	10,709
24,4	0,017	0,016	10,709
24,5	0,017	0,016	10,849
24,6	0,014	0,009	10,866
24,7	0,010	-0,001	10,866
24,8	0,006	-0,005	10,884
24,9	0,005	0,001	10,884
25,0	0,007	0,008	10,901
25,1	0,011	0,007	11,006
25,2	0,014	-0,003	11,024
25,3	0,016	-0,013	11,024
25,4	0,014	-0,013	11,024
25,5	0,011	-0,006	11,059
25,6	0,009	0,000	11,094
25,7	0,008	0,002	11,181
25,8	0,009	0,004	11,181
25,9	0,011	0,008	11,181
26,0	0,013	0,012	11,199
26,1	0,013	0,013	11,339
26,2	0,013	0,010	11,339
26,3	0,013	0,006	11,339
26,4	0,014	0,001	11,339
26,5	0,015	-0,006	11,339
26,6	0,016	-0,013	11,409
26,7	0,017	-0,017	11,496
26,8	0,016	-0,013	11,496
26,9	0,014	-0,007	11,496
27,0	0,013	-0,002	11,496
27,1	0,013	0,001	11,531
27,2	0,016	0,005	11,601
27,3	0,020	0,013	11,654
27,4	0,023	0,021	11,654
27,5	0,023	0,023	11,654
27,6	0,021	0,017	11,654
27,7	0,018	0,008	11,794
27,8	0,015	0,002	11,811
27,9	0,012	-0,002	11,811
28,0	0,011	-0,005	11,811
28,1	0,008	-0,007	11,881
28,2	0,006	-0,006	11,934
28,3	0,004	-0,002	11,969
28,4	0,003	0,002	11,969
28,5	0,003	0,001	11,969
28,6	0,005	-0,003	11,969
28,7	0,006	-0,006	12,091
28,8	0,007	-0,005	12,108
28,9	0,006	-0,001	12,126
29,0	0,003	0,003	12,126
29,1	0,002	0,002	12,126
29,2	0,002	0,000	12,126
29,3	0,003	-0,001	12,283
29,4	0,006	0,003	12,283
29,5	0,009	0,008	12,283
29,6	0,010	0,009	12,283
29,7	0,009	0,006	12,318
29,8	0,007	0,003	12,353
29,9	0,005	0,001	12,441
30,0	0,005	0,001	12,441
30,1	0,006	-0,001	12,441
30,2	0,007	-0,005	12,458
30,3	0,007	-0,006	12,598
30,4	0,006	-0,004	12,598
30,5	0,004	0,000	12,598
30,6	0,002	0,001	12,598
30,7	0,003	0,001	12,598
30,8	0,005	0,002	12,616
30,9	0,008	0,007	12,756
31,0	0,010	0,010	12,756
31,1	0,010	0,008	12,756
31,2	0,008	0,002	12,756
31,3	0,006	-0,001	12,843
31,4	0,004	0,000	12,913
31,5	0,005	0,001	12,913
31,6	0,007	-0,002	12,913
31,7	0,009	-0,008	12,931
31,8	0,010	-0,009	12,931
31,9	0,009	-0,004	13,071
32,0	0,008	0,002	13,071
32,1	0,006	0,005	13,071
32,2	0,006	0,005	13,071
32,3	0,008	0,007	13,088
32,4	0,011	0,011	13,088
32,5	0,014	0,013	13,228
32,6	0,015	0,008	13,228
32,7	0,015	0,000	13,228
32,8	0,012	-0,006	13,228
32,9	0,009	-0,007	13,316
33,0	0,007	-0,006	13,351
33,1	0,006	-0,006	13,386
33,2	0,007	-0,007	13,386
33,3	0,007	-0,006	13,386
33,4	0,006	-0,003	13,386
33,5	0,005	0,000	13,508
33,6	0,004	0,002	13,543
33,7	0,003	0,003	13,543
33,8	0,003	0,003	13,543
33,9	0,003	0,003	13,561
34,0	0,003	0,002	13,578
34,1	0,002	0,001	13,683
34,2	0,002	0,000	13,701
34,3	0,002	0,002	13,701
34,4	0,003	0,003	13,701
34,5	0,005	0,002	13,823
34,6	0,006	-0,002	13,858
34,7	0,006	-0,005	13,858
34,8	0,005	-0,005	13,858
34,9	0,003	-0,002	13,858
35,0	0,003	0,000	13,858
35,1	0,003	0,001	14,016
35,2	0,005	0,003	14,016
35,3	0,007	0,006	14,016
35,4	0,009	0,008	14,016
35,5	0,010	0,007	14,051
35,6	0,010	0,003	14,016
35,7	0,010	-0,003	14,173
35,8	0,009	-0,006	14,173
35,9	0,009	-0,009	14,173
36,0	0,010	-0,009	14,173
36,1	0,010	-0,007	14,243
36,2	0,011	0,000	14,278
36,3	0,011	0,007	14,331
36,4	0,010	0,010	14,331
36,5	0,009	0,009	14,331
36,6	0,009	0,007	14,366
36,7	0,008	0,005	14,488
36,8	0,009	0,002	14,488
36,9	0,009	-0,001	14,488
37,0	0,009	-0,006	14,506
37,1	0,008	-0,008	14,523
37,2	0,006	-0,006	14,593
37,3	0,004	-0,001	14,646
37,4	0,003	0,002	14,646
37,5	0,003	0,003	14,646
37,6	0,004	0,002	14,646
37,7	0,005	0,000	14,768
37,8	0,006	-0,002	14,786
37,9	0,007	-0,005	14,803
38,0	0,008	-0,008	14,803
38,1	0,010	-0,010	14,803
38,2	0,010	-0,009	14,803
38,3	0,011	-0,005	14,926
38,4	0,011	0,000	14,961
38,5	0,010	0,004	14,961
38,6	0,010	0,007	14,961
38,7	0,009	0,008	14,978
38,8	0,010	0,009	15,101
38,9	0,010	0,010	15,118
39,0	0,011	0,010	15,118
39,1	0,012	0,007	15,136
39,2	0,011	0,002	15,118
39,3	0,010	-0,003	15,276
39,4	0,009	-0,005	15,276
39,5	0,008	-0,006	15,276
39,6	0,008	-0,007	15,276
39,7	0,008	-0,008	15,293
39,8	0,008	-0,007	15,276
