time [µs]	HF [V]	NF [V]	TGC [dB]
16,8	0,095	0,087	0,157
16,9	0,095	0,085	0,157
17,0	0,094	-0,028	0,140
17,1	0,087	-0,072	0,157
17,2	0,075	0,006	0,157
17,3	0,063	0,072	0,157
17,4	0,055	0,032	0,157
17,5	0,053	-0,037	0,157
17,6	0,056	-0,025	0,157
17,7	0,063	0,047	0,157
17,8	0,069	0,067	0,157
17,9	0,073	0,002	0,157
18,0	0,070	-0,061	0,157
18,1	0,060	-0,047	0,157
18,2	0,047	0,011	0,157
18,3	0,035	0,035	0,157
18,4	0,028	0,007	0,140
18,5	0,026	-0,024	0,157
18,6	0,028	-0,020	0,157
18,7	0,028	0,007	0,157
18,8	0,025	0,023	0,157
18,9	0,020	0,015	0,157
19,0	0,015	-0,003	0,140
19,1	0,012	-0,013	0,157
19,2	0,013	-0,006	0,157
19,3	0,015	0,010	0,157
19,4	0,018	0,017	0,157
19,5	0,020	0,007	0,157
19,6	0,019	-0,011	0,140
19,7	0,018	-0,018	0,157
19,8	0,015	-0,008	0,157
19,9	0,011	0,004	0,157
20,0	0,007	0,006	0,157
20,1	0,003	0,000	0,157
20,2	0,001	-0,002	0,157
20,3	0,001	0,001	0,157
20,4	0,003	-0,001	0,122
20,5	0,008	-0,006	0,140
20,6	0,015	0,000	0,157
20,7	0,023	0,019	0,157
20,8	0,030	0,029	0,157
20,9	0,035	0,012	0,157
21,0	0,037	-0,019	0,157
21,1	0,035	-0,034	0,157
21,2	0,029	-0,021	0,157
21,3	0,022	0,001	0,157
21,4	0,015	0,010	0,140
21,5	0,011	0,008	0,140
21,6	0,011	0,009	0,157
21,7	0,012	0,013	0,157
21,8	0,013	0,010	0,157
21,9	0,011	-0,001	0,157
22,0	0,008	-0,006	0,157
22,1	0,005	-0,001	0,157
22,2	0,005	0,004	0,157
22,3	0,008	-0,002	0,157
22,4	0,013	-0,013	0,157
22,5	0,017	-0,013	0,157
22,6	0,017	0,000	0,157
22,7	0,014	0,012	0,157
22,8	0,010	0,011	0,157
22,9	0,006	0,003	0,140
23,0	0,005	0,001	0,157
23,1	0,006	0,003	0,157
23,2	0,008	-0,002	0,157
23,3	0,011	-0,011	0,157
23,4	0,013	-0,010	0,157
23,5	0,015	0,003	0,157
23,6	0,016	0,014	0,157
23,7	0,014	0,010	0,140
23,8	0,011	-0,003	0,157
23,9	0,007	-0,008	0,157
24,0	0,004	-0,001	0,157
24,1	0,005	0,001	0,157
24,2	0,009	-0,009	0,157
24,3	0,016	-0,014	0,157
24,4	0,022	0,000	0,140
24,5	0,025	0,021	0,157
24,6	0,025	0,022	0,157
24,7	0,023	-0,001	0,140
24,8	0,021	-0,020	0,157
24,9	0,020	-0,013	0,157
25,0	0,018	0,008	0,157
25,1	0,016	0,016	0,157
25,2	0,013	0,006	0,140
25,3	0,010	-0,005	0,157
25,4	0,008	-0,006	0,157
25,5	0,007	-0,005	0,157
25,6	0,008	-0,009	0,157
25,7	0,010	-0,005	0,157
25,8	0,013	0,009	0,105
25,9	0,016	0,015	0,157
26,0	0,019	0,000	0,157
26,1	0,020	-0,018	0,157
26,2	0,019	-0,013	0,157
26,3	0,017	0,009	0,157
26,4	0,015	0,014	0,157
26,5	0,014	-0,005	0,157
26,6	0,016	-0,013	0,140
26,7	0,019	0,007	0,157
26,8	0,024	0,024	0,157
26,9	0,028	0,001	0,157
27,0	0,032	-0,031	0,157
27,1	0,036	-0,017	0,157
27,2	0,040	0,030	0,157
27,3	0,044	0,031	0,157
27,4	0,052	-0,032	0,157
27,5	0,067	-0,060	0,157
27,6	0,095	0,026	0,157
27,7	0,138	0,137	0,157
27,8	0,195	0,087	0,122
27,9	0,261	-0,145	0,157
28,0	0,325	-0,326	0,157
28,1	0,382	-0,217	0,157
28,2	0,425	0,135	0,140
28,3	0,447	0,417	0,140
28,4	0,444	0,387	0,157
28,5	0,415	0,102	0,157
28,6	0,368	-0,186	0,157
28,7	0,316	-0,303	0,157
28,8	0,270	-0,257	0,157
28,9	0,237	-0,135	0,157
29,0	0,208	-0,001	0,140
29,1	0,173	0,103	0,157
29,2	0,126	0,129	0,140
29,3	0,077	0,078	0,157
29,4	0,043	0,021	0,140
29,5	0,035	0,021	0,157
29,6	0,051	0,056	0,157
29,7	0,072	0,047	0,157
29,8	0,079	-0,014	0,157
29,9	0,064	-0,058	0,157
30,0	0,039	-0,035	0,140
30,1	0,023	0,007	0,157
30,2	0,026	-0,002	0,157
30,3	0,043	-0,046	0,157
30,4	0,058	-0,051	0,157
30,5	0,058	-0,002	0,157
30,6	0,045	0,037	0,140
30,7	0,031	0,014	0,157
30,8	0,028	-0,028	0,157
30,9	0,038	-0,022	0,157
31,0	0,054	0,031	0,157
31,1	0,062	0,058	0,157
31,2	0,056	0,027	0,157
31,3	0,039	-0,019	0,140
31,4	0,021	-0,025	0,157
31,5	0,010	-0,003	0,157
31,6	0,009	0,004	0,157
31,7	0,015	-0,013	0,157
31,8	0,023	-0,019	0,105
31,9	0,026	0,002	0,157
32,0	0,024	0,022	0,157
32,1	0,019	0,015	0,157
32,2	0,014	-0,006	0,122
32,3	0,010	-0,008	0,157
32,4	0,012	0,008	0,157
32,5	0,016	0,014	0,157
32,6	0,022	-0,002	0,157
32,7	0,024	-0,021	0,157
32,8	0,021	-0,020	0,157
32,9	0,015	-0,005	0,157
33,0	0,009	0,002	0,157
33,1	0,007	-0,002	0,140
33,2	0,010	-0,002	0,140
33,3	0,016	0,008	0,157
33,4	0,019	0,018	0,157
33,5	0,019	0,016	0,157
33,6	0,015	0,006	0,157
33,7	0,010	-0,001	0,157
33,8	0,007	-0,003	0,157
33,9	0,007	-0,004	0,157
34,0	0,008	-0,008	0,157
34,1	0,009	-0,008	0,157
34,2	0,008	-0,003	0,157
34,3	0,006	0,003	0,157
34,4	0,004	0,004	0,157
34,5	0,003	0,000	0,157
34,6	0,004	-0,004	0,157
34,7	0,005	-0,004	0,157
34,8	0,006	-0,004	0,157
34,9	0,007	-0,001	0,157
35,0	0,008	0,003	0,157
35,1	0,009	0,008	0,157
35,2	0,009	0,009	0,140
35,3	0,007	0,005	0,157
35,4	0,005	0,000	0,157
35,5	0,003	-0,001	0,157
35,6	0,001	0,000	0,157
35,7	0,002	-0,001	0,157
35,8	0,004	-0,004	0,157
35,9	0,005	-0,004	0,157
36,0	0,006	0,000	0,157
36,1	0,006	0,005	0,157
36,2	0,005	0,005	0,157
36,3	0,004	0,001	0,157
36,4	0,003	-0,003	0,157
36,5	0,004	-0,002	0,157
36,6	0,005	0,002	0,157
36,7	0,006	0,006	0,157
36,8	0,007	0,007	0,157
36,9	0,008	0,006	0,157
37,0	0,008	0,003	0,157
37,1	0,009	-0,001	0,157
37,2	0,009	-0,005	0,157
37,3	0,009	-0,008	0,157
37,4	0,009	-0,009	0,157
37,5	0,008	-0,008	0,157
37,6	0,009	-0,006	0,140
37,7	0,009	-0,003	0,122
