time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,458	0,129	0,157
0,1	0,536	0,412	0,315
0,2	0,601	0,242	-0,157
0,3	0,651	-0,372	-0,157
0,4	0,682	-0,831	0,787
0,5	0,696	-0,584	0,752
0,6	0,695	0,218	0,315
0,7	0,685	0,864	0,052
0,8	0,672	0,853	-0,157
0,9	0,662	0,351	0,000
1,0	0,663	-0,132	0,157
1,1	0,679	-0,322	0,350
1,2	0,711	-0,309	0,297
1,3	0,760	-0,206	0,000
1,4	0,821	0,056	0,000
1,5	0,887	0,524	0,000
1,6	0,951	0,961	0,157
1,7	1,002	0,971	0,157
1,8	1,033	0,396	0,157
1,9	1,037	-0,470	0,157
2,0	1,011	-1,117	0,157
2,1	0,954	-1,227	0,157
2,2	0,870	-0,878	0,157
2,3	0,767	-0,401	0,157
2,4	0,653	-0,084	0,000
2,5	0,540	0,012	0,157
2,6	0,437	0,007	0,157
2,7	0,355	0,024	0,000
2,8	0,300	0,058	0,157
2,9	0,274	0,007	0,157
3,0	0,278	-0,179	0,122
3,1	0,307	-0,407	0,157
3,2	0,355	-0,509	0,105
3,3	0,414	-0,392	0,140
3,4	0,473	-0,117	0,157
3,5	0,524	0,172	0,140
3,6	0,561	0,374	0,052
3,7	0,576	0,473	0,157
3,8	0,569	0,500	0,035
3,9	0,540	0,474	0,157
4,0	0,491	0,391	0,157
4,1	0,426	0,260	0,105
4,2	0,353	0,117	0,157
4,3	0,278	0,012	0,157
4,4	0,205	-0,029	0,105
4,5	0,141	-0,023	0,157
4,6	0,090	-0,009	0,140
4,7	0,052	-0,012	0,140
4,8	0,029	-0,022	0,157
4,9	0,019	-0,017	0,157
5,0	0,020	0,000	0,105
5,1	0,029	0,003	0,157
5,2	0,042	-0,022	0,105
5,3	0,057	-0,055	0,157
5,4	0,070	-0,067	0,122
5,5	0,079	-0,055	0,140
5,6	0,084	-0,046	0,140
5,7	0,084	-0,058	0,157
5,8	0,080	-0,074	0,122
5,9	0,072	-0,065	0,157
6,0	0,062	-0,030	0,087
6,1	0,051	0,005	0,140
6,2	0,041	0,018	0,140
6,3	0,032	0,010	0,157
6,4	0,025	-0,002	0,157
6,5	0,021	-0,013	0,157
6,6	0,020	-0,026	0,122
6,7	0,020	-0,038	0,157
6,8	0,023	-0,041	0,105
6,9	0,026	-0,026	0,157
7,0	0,030	-0,002	0,157
7,1	0,033	0,018	0,157
7,2	0,036	0,025	0,157
7,3	0,037	0,022	0,157
7,4	0,037	0,013	0,105
7,5	0,036	-0,003	0,157
7,6	0,034	-0,021	0,140
7,7	0,031	-0,033	0,140
7,8	0,028	-0,029	0,140
7,9	0,025	-0,012	0,157
8,0	0,021	0,005	0,157
8,1	0,019	0,013	0,140
8,2	0,017	0,014	0,105
8,3	0,016	0,011	0,122
8,4	0,015	0,008	0,140
8,5	0,015	0,001	0,157
8,6	0,015	-0,009	0,157
8,7	0,016	-0,017	0,140
8,8	0,016	-0,017	0,140
8,9	0,017	-0,010	0,157
9,0	0,018	0,000	0,105
9,1	0,019	0,005	0,157
9,2	0,019	0,008	0,087
9,3	0,019	0,010	0,122
9,4	0,019	0,015	0,070
9,5	0,019	0,019	0,157
9,6	0,019	0,019	0,122
9,7	0,019	0,016	0,157
9,8	0,020	0,009	0,157
9,9	0,020	-0,001	0,157
10,0	0,020	-0,010	0,157
10,1	0,020	-0,017	0,157
10,2	0,020	-0,018	0,122
10,3	0,021	-0,012	0,157
10,4	0,021	-0,001	0,087
10,5	0,021	0,013	0,105
10,6	0,021	0,024	0,052
10,7	0,021	0,026	0,105
10,8	0,021	0,018	0,070
10,9	0,021	0,005	0,157
11,0	0,022	-0,007	0,122
11,1	0,022	-0,014	0,157
11,2	0,022	-0,015	0,157
11,3	0,022	-0,013	0,157
11,4	0,022	-0,008	0,105
11,5	0,021	0,000	0,122
11,6	0,020	0,013	0,087
11,7	0,019	0,022	0,157
11,8	0,017	0,022	0,017
11,9	0,015	0,013	0,157
12,0	0,012	0,003	0,157
12,1	0,010	-0,003	0,157
12,2	0,009	-0,005	0,157
12,3	0,008	-0,007	0,157
12,4	0,008	-0,010	0,157
12,5	0,008	-0,010	0,157
12,6	0,010	-0,005	0,140
12,7	0,012	0,004	0,157
12,8	0,014	0,009	0,157
12,9	0,016	0,007	0,157
13,0	0,017	0,001	0,140
13,1	0,017	-0,002	0,140
13,2	0,014	-0,001	0,157
13,3	0,010	0,002	0,157
13,4	0,004	0,002	0,122
13,5	0,004	0,000	0,140
13,6	0,012	0,000	0,157
13,7	0,019	0,002	0,157
13,8	0,024	0,004	0,175
13,9	0,024	0,005	0,087
14,0	0,017	0,006	1,277
14,1	0,001	0,002	3,482
14,2	0,025	-0,014	5,197
14,3	0,062	-0,037	6,299
14,4	0,110	-0,034	6,929
14,5	0,169	0,034	7,402
14,6	0,237	0,165	7,577
14,7	0,311	0,272	7,734
14,8	0,390	0,228	7,874
14,9	0,468	-0,026	8,031
15,0	0,544	-0,394	8,049
15,1	0,613	-0,655	8,136
15,2	0,673	-0,617	8,189
15,3	0,721	-0,262	8,189
15,4	0,756	0,237	8,189
15,5	0,777	0,634	8,276
15,6	0,783	0,768	8,311
15,7	0,777	0,632	8,346
15,8	0,758	0,326	8,346
15,9	0,730	-0,035	8,486
16,0	0,694	-0,360	8,504
16,1	0,653	-0,577	8,504
16,2	0,608	-0,624	8,504
16,3	0,561	-0,477	8,591
16,4	0,514	-0,196	8,556
16,5	0,467	0,097	8,661
16,6	0,423	0,290	8,661
16,7	0,380	0,347	8,661
16,8	0,341	0,311	8,661
16,9	0,304	0,236	8,819
17,0	0,270	0,140	8,819
17,1	0,240	0,018	8,819
17,2	0,212	-0,106	8,819
17,3	0,188	-0,183	8,959
17,4	0,167	-0,179	8,976
17,5	0,148	-0,120	8,976
17,6	0,133	-0,063	8,976
17,7	0,120	-0,035	9,046
17,8	0,110	-0,014	9,011
17,9	0,102	0,028	9,134
18,0	0,096	0,085	9,134
18,1	0,091	0,115	9,134
18,2	0,088	0,093	9,151
18,3	0,085	0,040	9,291
18,4	0,083	-0,005	9,291
18,5	0,081	-0,028	9,291
18,6	0,078	-0,044	9,291
18,7	0,075	-0,064	9,431
18,8	0,071	-0,073	9,449
18,9	0,067	-0,052	9,449
19,0	0,062	-0,004	9,449
19,1	0,056	0,038	9,571
19,2	0,051	0,051	9,606
19,3	0,045	0,038	9,606
19,4	0,039	0,020	9,606
19,5	0,033	0,011	9,606
19,6	0,028	0,005	9,641
19,7	0,024	-0,008	9,764
19,8	0,020	-0,022	9,764
19,9	0,017	-0,026	9,764
20,0	0,016	-0,016	9,781
20,1	0,015	-0,003	9,921
20,2	0,015	-0,001	9,921
20,3	0,016	-0,009	9,921
20,4	0,018	-0,014	9,921
20,5	0,020	-0,007	10,079
20,6	0,023	0,007	10,079
20,7	0,027	0,020	10,079
20,8	0,030	0,026	10,079
20,9	0,034	0,029	10,201
21,0	0,038	0,032	10,236
21,1	0,041	0,028	10,236
21,2	0,045	0,010	10,236
21,3	0,048	-0,019	10,289
21,4	0,050	-0,046	10,376
