time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,465	0,139	1,050
0,1	0,545	0,424	1,172
0,2	0,613	0,248	0,560
0,3	0,663	-0,375	0,157
0,4	0,695	-0,834	1,732
0,5	0,708	-0,576	1,575
0,6	0,705	0,241	1,260
0,7	0,693	0,890	0,945
0,8	0,676	0,867	0,787
0,9	0,664	0,351	0,945
1,0	0,662	-0,133	1,032
1,1	0,676	-0,313	1,260
1,2	0,707	-0,291	1,242
1,3	0,755	-0,193	0,945
1,4	0,815	0,058	0,945
1,5	0,882	0,519	0,945
1,6	0,945	0,954	1,085
1,7	0,997	0,957	1,102
1,8	1,029	0,368	0,997
1,9	1,032	-0,507	1,085
2,0	1,005	-1,146	1,085
2,1	0,947	-1,233	1,102
2,2	0,861	-0,860	1,085
2,3	0,755	-0,375	1,102
2,4	0,638	-0,075	0,945
2,5	0,522	-0,017	1,085
2,6	0,417	-0,063	1,102
2,7	0,333	-0,064	0,945
2,8	0,276	-0,012	1,067
2,9	0,249	-0,018	1,102
3,0	0,253	-0,162	0,962
3,1	0,284	-0,373	1,102
3,2	0,334	-0,476	0,945
3,3	0,395	-0,360	0,962
3,4	0,458	-0,081	1,085
3,5	0,513	0,206	0,980
3,6	0,552	0,391	0,945
3,7	0,571	0,470	1,102
3,8	0,567	0,491	0,945
3,9	0,540	0,474	1,032
4,0	0,493	0,401	1,102
4,1	0,431	0,269	0,945
4,2	0,359	0,122	0,997
4,3	0,284	0,019	1,067
4,4	0,212	-0,016	0,945
4,5	0,148	-0,011	1,102
4,6	0,097	-0,007	0,945
4,7	0,059	-0,018	0,997
4,8	0,036	-0,026	1,067
4,9	0,026	-0,016	1,085
5,0	0,027	0,000	0,997
5,1	0,036	-0,003	1,050
5,2	0,049	-0,031	0,945
5,3	0,063	-0,060	1,085
5,4	0,076	-0,068	0,980
5,5	0,085	-0,060	0,980
5,6	0,090	-0,058	1,015
5,7	0,090	-0,071	1,015
5,8	0,086	-0,080	0,945
5,9	0,078	-0,065	1,085
6,0	0,067	-0,027	0,945
6,1	0,056	0,007	0,980
6,2	0,046	0,020	0,962
6,3	0,037	0,013	1,015
6,4	0,031	-0,002	1,015
6,5	0,027	-0,019	1,085
6,6	0,026	-0,036	0,962
6,7	0,027	-0,047	1,067
