depth[mm]	HF [V]	NF [V]	TGC [dB]
82,6	0,060	-0,021	0,000
82,7	0,056	-0,052	0,035
82,8	0,041	-0,031	0,000
83,0	0,024	0,006	0,000
83,1	0,014	0,012	0,000
83,3	0,013	-0,009	0,000
83,4	0,019	-0,019	0,000
83,5	0,026	-0,003	0,000
83,7	0,028	0,018	0,000
83,8	0,023	0,022	0,000
84,0	0,015	0,012	0,000
84,1	0,009	0,003	0,000
84,2	0,007	0,002	0,000
84,4	0,008	0,001	0,017
84,5	0,010	-0,005	0,000
84,7	0,011	-0,010	0,000
84,8	0,008	-0,007	0,000
84,9	0,005	-0,001	0,017
85,1	0,003	0,002	0,000
85,2	0,002	-0,001	0,000
85,3	0,003	-0,003	0,000
85,5	0,005	0,000	0,052
85,6	0,006	0,005	0,000
85,8	0,006	0,005	0,000
85,9	0,005	0,001	0,000
86,0	0,005	-0,003	0,000
86,2	0,004	-0,004	0,000
86,3	0,003	-0,002	0,035
86,5	0,002	0,000	0,000
86,6	0,002	0,000	0,035
86,7	0,002	0,000	0,000
86,9	0,003	0,001	0,000
87,0	0,003	0,003	0,000
87,2	0,004	0,004	0,017
87,3	0,004	0,002	0,000
87,4	0,002	0,000	0,000
87,6	0,001	-0,001	0,000
87,7	0,001	0,000	0,070
87,8	0,001	0,000	0,000
88,0	0,002	0,000	0,000
88,1	0,002	-0,002	0,000
88,3	0,003	-0,003	0,000
88,4	0,002	-0,002	0,000
88,5	0,002	0,000	0,000
88,7	0,001	0,000	0,000
88,8	0,002	-0,001	0,017
89,0	0,002	0,000	0,000
89,1	0,003	0,001	0,017
89,2	0,004	0,003	0,000
89,4	0,004	0,004	0,000
89,5	0,003	0,002	0,000
89,7	0,002	0,001	0,000
89,8	0,002	-0,001	0,017
89,9	0,001	-0,001	0,035
90,1	0,001	-0,001	0,000
90,2	0,001	-0,001	0,000
90,3	0,001	-0,001	0,000
90,5	0,001	-0,001	0,017
90,6	0,001	-0,001	0,000
90,8	0,002	0,000	0,000
90,9	0,003	0,001	0,000
91,0	0,003	0,003	0,017
91,2	0,003	0,003	0,000
91,3	0,003	0,002	0,035
91,5	0,002	0,000	0,000
91,6	0,001	-0,001	0,000
91,7	0,001	0,000	0,000
91,9	0,000	0,000	0,000
92,0	0,000	0,000	0,000
92,2	0,000	0,000	0,087
92,3	0,000	0,000	0,000
92,4	0,000	0,000	0,017
92,6	0,000	0,000	0,000
92,7	0,000	0,000	0,000
92,9	0,000	0,000	0,000
93,0	0,000	0,000	0,000
93,1	0,000	0,000	0,000
93,3	0,000	0,000	0,000
93,4	0,000	0,000	0,000
93,5	0,000	0,000	0,017
93,7	0,000	0,000	0,000
93,8	0,000	0,000	0,000
94,0	0,000	0,000	0,000
94,1	0,000	0,000	0,000
94,2	0,000	0,000	0,000
94,4	0,000	0,000	0,052
94,5	0,000	0,000	0,000
94,7	0,000	0,000	0,017
94,8	0,000	0,000	0,000
94,9	0,000	0,000	0,000
95,1	0,000	0,000	0,000
95,2	0,000	0,000	0,000
95,4	0,000	0,000	0,000
95,5	0,000	0,000	0,017
95,6	0,000	0,000	0,000
95,8	0,000	0,000	0,000
95,9	0,000	0,000	0,000
96,0	0,000	0,000	0,017
96,2	0,000	0,000	0,000
96,3	0,000	0,000	0,000
96,5	0,000	0,000	0,000
96,6	0,000	0,000	0,035
96,7	0,000	0,000	0,000
96,9	0,000	0,000	0,000
97,0	0,000	0,000	0,000
97,2	0,001	0,000	0,035
97,3	0,001	0,000	0,000
97,4	0,001	0,000	0,017
97,6	0,001	0,000	0,000
97,7	0,001	0,001	0,017
97,9	0,001	0,000	0,000
98,0	0,001	0,000	0,000
98,1	0,001	0,000	0,000
98,3	0,001	-0,001	0,000
98,4	0,001	0,000	0,000
98,6	0,001	0,001	0,017
98,7	0,001	0,000	0,000
98,8	0,003	-0,002	0,017
99,0	0,004	-0,004	0,000
99,1	0,006	-0,003	0,000
99,2	0,007	0,002	0,000
99,4	0,007	0,006	0,017
99,5	0,006	0,006	0,000
99,7	0,005	0,003	0,000
99,8	0,004	0,000	0,000
99,9	0,002	-0,002	0,000
100,1	0,001	-0,001	0,000
100,2	0,001	0,000	0,000
100,4	0,001	0,000	0,000
100,5	0,001	-0,001	0,000
100,6	0,002	-0,002	0,000
100,8	0,003	-0,001	0,000
100,9	0,004	0,002	0,000
101,1	0,005	0,004	0,017
101,2	0,005	0,005	0,000
101,3	0,005	0,003	0,017
101,5	0,004	0,001	0,000
101,6	0,003	-0,001	0,017
101,7	0,002	-0,001	0,000
101,9	0,001	-0,001	0,000
102,0	0,001	0,000	0,000
102,2	0,000	0,000	0,070
102,3	0,000	0,000	0,000
102,4	0,000	0,000	0,000
102,6	0,000	0,000	0,000
102,7	0,000	0,000	0,017
102,9	0,000	0,000	0,000
103,0	0,000	0,000	0,000
103,1	0,000	0,000	0,000
103,3	0,000	0,000	0,000
103,4	0,000	0,000	0,000
103,6	0,000	0,000	0,000
103,7	0,000	0,000	0,000
103,8	0,000	0,000	0,035
104,0	0,000	0,000	0,000
104,1	0,000	0,000	0,000
104,2	0,000	0,000	0,000
104,4	0,000	0,000	0,000
104,5	0,000	0,000	0,000
104,7	0,000	0,000	0,000
104,8	0,000	0,000	0,000
104,9	0,000	0,000	0,035
105,1	0,000	0,000	0,000
105,2	0,001	0,000	0,000
105,4	0,001	0,001	0,017
105,5	0,001	0,000	0,070
105,6	0,000	0,000	0,000
105,8	0,000	0,000	0,000
105,9	0,000	0,000	0,000
106,1	0,000	0,000	0,035
106,2	0,000	0,000	0,000
106,3	0,000	0,000	0,000
106,5	0,000	0,000	0,000
106,6	0,000	0,000	0,000
106,8	0,000	0,000	0,000
106,9	0,000	0,000	0,000
107,0	0,000	0,000	0,000
107,2	0,000	0,000	0,017
107,3	0,000	0,000	0,000
107,4	0,001	0,000	0,017
107,6	0,000	0,000	0,000
107,7	0,000	0,000	0,000
107,9	0,000	0,000	0,000
108,0	0,000	0,000	0,017
108,1	0,000	0,000	0,000
108,3	0,000	0,000	0,000
108,4	0,000	0,000	0,000
108,6	0,000	0,000	0,000
108,7	0,000	0,000	0,000
108,8	0,000	0,000	0,052
109,0	0,000	0,000	0,000
109,1	0,000	0,000	0,000
109,3	0,000	0,000	0,000
109,4	0,000	0,000	0,017
109,5	0,000	0,000	0,000
109,7	0,000	0,000	0,000
109,8	0,000	0,000	0,000
109,9	0,000	0,000	0,035
110,1	0,000	0,000	0,000
110,2	0,000	0,000	0,035
110,4	0,000	0,000	0,000
110,5	0,000	0,000	0,017
110,6	0,000	0,000	0,000
110,8	0,000	0,000	0,000
110,9	0,000	0,000	0,000
111,1	0,000	0,000	0,000
111,2	0,000	0,000	0,000
111,3	0,000	0,000	0,000
111,5	0,000	0,000	0,000
111,6	0,000	0,000	0,017
111,8	0,000	0,000	0,000
111,9	0,000	0,000	0,000
112,0	0,000	0,000	0,000
112,2	0,000	0,000	0,000
112,3	0,000	0,000	0,000
112,5	0,000	0,000	0,017
112,6	0,000	0,000	0,000
112,7	0,000	0,000	0,000
112,9	0,000	0,000	0,000
113,0	0,000	0,000	0,052
113,1	0,000	0,000	0,000
113,3	0,000	0,000	0,035
113,4	0,000	0,000	0,000
113,6	0,000	0,000	0,000
113,7	0,000	0,000	0,000
113,8	0,000	0,000	0,035
114,0	0,000	0,000	0,000
114,1	0,000	0,000	0,000
114,3	0,000	0,000	0,000
114,4	0,000	0,000	0,035
114,5	0,000	0,000	0,000
114,7	0,000	0,000	0,000
114,8	0,000	0,000	0,000
115,0	0,000	0,000	0,017
115,1	0,000	0,000	0,000
115,2	0,000	0,000	0,000
115,4	0,000	0,000	0,000
115,5	0,000	0,000	0,052
115,6	0,000	0,000	0,000
115,8	0,000	0,000	0,000
115,9	0,000	0,000	0,000
116,1	0,000	0,000	0,000
116,2	0,000	0,000	0,000
116,3	0,000	0,000	0,000
