time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,379	0,060	0,157
0,1	0,538	0,527	0,315
0,2	0,707	0,480	-0,157
0,3	0,800	-0,140	-0,157
0,4	0,758	-0,666	0,472
0,5	0,605	-0,623	0,665
0,6	0,462	-0,350	0,385
0,7	0,471	-0,358	0,052
0,8	0,687	-0,428	0,000
0,9	1,021	0,062	0,000
1,0	1,280	0,967	0,157
1,1	1,313	1,250	0,315
1,2	1,128	0,382	0,157
1,3	0,894	-0,693	0,157
1,4	0,813	-0,627	0,000
1,5	0,958	0,496	0,000
1,6	1,212	1,158	0,157
1,7	1,360	0,404	0,175
1,8	1,273	-0,857	0,175
1,9	1,014	-1,067	0,140
2,0	0,786	-0,094	0,000
2,1	0,751	0,663	0,017
2,2	0,896	0,211	0,157
2,3	1,042	-0,787	0,315
2,4	1,007	-1,043	0,157
2,5	0,767	-0,381	0,140
2,6	0,475	0,207	0,017
2,7	0,327	0,044	0,157
2,8	0,396	-0,406	0,157
2,9	0,574	-0,360	0,157
3,0	0,681	0,163	0,157
3,1	0,613	0,499	0,140
3,2	0,428	0,338	0,157
3,3	0,270	0,068	0,157
3,4	0,242	0,115	0,140
3,5	0,325	0,368	0,157
3,6	0,414	0,460	0,140
3,7	0,425	0,331	0,157
3,8	0,360	0,229	0,157
3,9	0,289	0,281	0,157
4,0	0,268	0,336	0,157
4,1	0,293	0,248	0,157
4,2	0,313	0,099	0,157
4,3	0,290	0,041	0,157
4,4	0,230	0,061	0,157
4,5	0,176	0,043	0,157
4,6	0,155	-0,035	0,157
4,7	0,156	-0,085	0,157
4,8	0,152	-0,064	0,157
4,9	0,127	-0,028	0,157
5,0	0,098	-0,033	0,157
5,1	0,090	-0,060	0,157
5,2	0,109	-0,078	0,157
5,3	0,134	-0,098	0,157
5,4	0,138	-0,123	0,157
5,5	0,112	-0,108	0,140
5,6	0,079	-0,025	0,157
5,7	0,067	0,057	0,157
5,8	0,085	0,044	0,157
5,9	0,112	-0,053	0,157
6,0	0,120	-0,119	0,157
6,1	0,098	-0,079	0,157
6,2	0,062	0,004	0,140
6,3	0,039	0,026	0,157
6,4	0,043	-0,027	0,157
6,5	0,066	-0,076	0,157
6,6	0,084	-0,057	0,157
6,7	0,079	0,004	0,140
6,8	0,053	0,042	0,157
6,9	0,026	0,027	0,157
7,0	0,015	-0,009	0,140
7,1	0,027	-0,017	0,140
7,2	0,056	0,027	0,157
7,3	0,091	0,087	0,157
7,4	0,123	0,094	0,157
7,5	0,148	0,010	0,157
7,6	0,162	-0,112	0,157
7,7	0,160	-0,161	0,157
7,8	0,141	-0,089	0,157
7,9	0,110	0,028	0,157
8,0	0,076	0,073	0,157
8,1	0,051	0,020	0,157
8,2	0,042	-0,039	0,140
8,3	0,045	-0,026	0,157
8,4	0,051	0,031	0,122
8,5	0,054	0,051	0,157
8,6	0,051	0,010	0,157
8,7	0,043	-0,034	0,140
8,8	0,035	-0,032	0,157
8,9	0,028	0,000	0,157
9,0	0,024	0,020	0,157
9,1	0,021	0,020	0,140
9,2	0,023	0,020	0,070
9,3	0,028	0,021	0,140
9,4	0,035	0,006	0,157
9,5	0,040	-0,024	0,157
9,6	0,038	-0,037	0,157
9,7	0,029	-0,018	0,157
9,8	0,017	0,006	0,157
9,9	0,008	0,008	0,157
10,0	0,006	-0,005	0,122
10,1	0,009	-0,005	0,157
10,2	0,015	0,010	0,157
10,3	0,018	0,016	0,157
10,4	0,017	0,000	0,157
10,5	0,016	-0,016	0,157
10,6	0,017	-0,010	0,157
10,7	0,021	0,011	0,157
10,8	0,025	0,024	0,157
10,9	0,025	0,017	0,157
11,0	0,020	0,001	0,122
11,1	0,013	-0,010	0,157
11,2	0,009	-0,008	0,157
11,3	0,012	0,006	0,157
11,4	0,019	0,019	0,140
11,5	0,028	0,013	0,140
