time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,381	0,060	0,157
0,1	0,532	0,527	0,315
0,2	0,698	0,480	-0,157
0,3	0,796	-0,139	-0,157
0,4	0,764	-0,668	0,472
0,5	0,617	-0,628	0,682
0,6	0,469	-0,342	0,420
0,7	0,462	-0,314	0,087
0,8	0,665	-0,345	0,000
0,9	0,995	0,146	0,000
1,0	1,265	1,004	0,157
1,1	1,310	1,233	0,315
1,2	1,126	0,356	0,157
1,3	0,878	-0,684	0,157
1,4	0,778	-0,596	0,000
1,5	0,916	0,497	0,000
1,6	1,177	1,113	0,140
1,7	1,340	0,357	0,175
1,8	1,259	-0,861	0,192
1,9	0,988	-1,052	0,157
2,0	0,733	-0,124	0,017
2,1	0,680	0,574	0,017
2,2	0,833	0,119	0,157
2,3	1,017	-0,829	0,315
2,4	1,032	-1,059	0,157
2,5	0,827	-0,426	0,105
2,6	0,534	0,141	0,052
2,7	0,349	0,040	0,157
2,8	0,364	-0,295	0,157
2,9	0,502	-0,198	0,157
3,0	0,600	0,258	0,157
3,1	0,556	0,485	0,140
3,2	0,407	0,288	0,157
3,3	0,274	0,068	0,157
3,4	0,247	0,162	0,157
3,5	0,312	0,393	0,157
3,6	0,382	0,427	0,157
3,7	0,389	0,277	0,157
3,8	0,337	0,208	0,157
3,9	0,285	0,295	0,157
4,0	0,274	0,345	0,140
4,1	0,297	0,231	0,157
4,2	0,308	0,077	0,157
4,3	0,277	0,038	0,157
4,4	0,220	0,073	0,157
4,5	0,173	0,049	0,157
4,6	0,156	-0,043	0,157
4,7	0,158	-0,091	0,157
4,8	0,151	-0,056	0,157
4,9	0,125	-0,016	0,157
5,0	0,099	-0,031	0,157
5,1	0,094	-0,070	0,157
5,2	0,114	-0,086	0,157
5,3	0,136	-0,096	0,157
5,4	0,134	-0,117	0,157
5,5	0,106	-0,106	0,157
5,6	0,074	-0,028	0,122
5,7	0,066	0,055	0,140
5,8	0,087	0,046	0,157
5,9	0,116	-0,051	0,157
6,0	0,125	-0,122	0,157
6,1	0,104	-0,085	0,157
6,2	0,069	0,005	0,157
6,3	0,046	0,038	0,140
6,4	0,048	-0,013	0,140
6,5	0,069	-0,072	0,157
6,6	0,085	-0,070	0,157
6,7	0,080	-0,015	0,157
6,8	0,055	0,032	0,157
6,9	0,026	0,033	0,140
7,0	0,012	0,003	0,140
7,1	0,020	-0,011	0,157
7,2	0,047	0,022	0,157
7,3	0,083	0,080	0,157
7,4	0,119	0,095	0,157
7,5	0,149	0,017	0,157
7,6	0,168	-0,110	0,105
7,7	0,171	-0,171	0,157
7,8	0,154	-0,102	0,157
7,9	0,122	0,025	0,157
8,0	0,086	0,082	0,157
8,1	0,059	0,032	0,157
8,2	0,047	-0,037	0,157
8,3	0,048	-0,034	0,157
8,4	0,054	0,027	0,157
8,5	0,058	0,056	0,157
8,6	0,056	0,018	0,157
8,7	0,050	-0,035	0,157
8,8	0,043	-0,040	0,157
8,9	0,035	-0,005	0,157
9,0	0,029	0,023	0,157
9,1	0,023	0,023	0,140
9,2	0,021	0,017	0,122
9,3	0,024	0,015	0,157
9,4	0,030	0,005	0,157
9,5	0,035	-0,020	0,157
9,6	0,035	-0,036	0,157
9,7	0,029	-0,021	0,157
9,8	0,020	0,006	0,157
9,9	0,013	0,010	0,157
10,0	0,011	-0,007	0,122
10,1	0,015	-0,015	0,157
10,2	0,019	0,003	0,157
10,3	0,022	0,020	0,157
10,4	0,022	0,009	0,140
10,5	0,023	-0,018	0,157
10,6	0,026	-0,022	0,157
10,7	0,031	0,007	0,157
10,8	0,035	0,033	0,157
10,9	0,034	0,024	0,122
11,0	0,030	-0,008	0,070
11,1	0,024	-0,024	0,157
11,2	0,021	-0,007	0,157
11,3	0,021	0,018	0,157
11,4	0,023	0,019	0,122
11,5	0,024	-0,002	0,157
11,6	0,022	-0,019	0,122
11,7	0,017	-0,014	0,157
11,8	0,011	0,001	0,157
11,9	0,007	0,007	0,157
12,0	0,006	0,001	0,140
12,1	0,006	-0,006	0,157
12,2	0,007	-0,001	0,157
12,3	0,009	0,008	0,157
12,4	0,011	0,010	0,157
12,5	0,013	0,000	0,157
12,6	0,013	-0,011	0,157
12,7	0,012	-0,010	0,157
12,8	0,009	-0,001	0,157
12,9	0,005	0,005	0,157
13,0	0,003	0,002	0,122
13,1	0,005	0,000	0,157
13,2	0,009	0,006	0,105
13,3	0,015	0,016	0,157
13,4	0,020	0,015	0,157
13,5	0,022	0,001	0,157
13,6	0,020	-0,014	0,157
13,7	0,015	-0,015	0,157
13,8	0,009	-0,005	0,157
13,9	0,005	0,002	0,157
14,0	0,004	0,001	0,122
14,1	0,008	0,003	0,157
14,2	0,016	0,014	0,157
14,3	0,024	0,023	0,157
14,4	0,030	0,013	0,140
14,5	0,031	-0,012	1,137
14,6	0,028	-0,027	3,307
14,7	0,021	-0,016	5,127
14,8	0,015	0,005	6,229
14,9	0,011	0,009	6,929
15,0	0,012	-0,007	7,402
15,1	0,018	-0,019	7,577
15,2	0,025	-0,006	7,769
15,3	0,030	0,020	7,874
15,4	0,032	0,031	7,927
15,5	0,029	0,015	8,031
15,6	0,022	-0,007	8,031
15,7	0,014	-0,014	8,189
15,8	0,008	-0,006	8,189
15,9	0,006	0,001	8,189
16,0	0,007	-0,004	8,189
16,1	0,009	-0,011	8,329
16,2	0,012	-0,009	8,346
16,3	0,012	0,002	8,346
16,4	0,011	0,010	8,346
16,5	0,010	0,008	8,364
16,6	0,010	0,000	8,469
16,7	0,010	-0,005	8,504
16,8	0,010	-0,007	8,504
16,9	0,010	-0,009	8,504
17,0	0,011	-0,011	8,504
17,1	0,012	-0,009	8,591
17,2	0,012	-0,001	8,644
17,3	0,012	0,008	8,661
17,4	0,010	0,010	8,661
17,5	0,008	0,005	8,661
17,6	0,006	0,000	8,749
17,7	0,005	-0,003	8,819
17,8	0,005	-0,004	8,819
17,9	0,006	-0,006	8,819
18,0	0,007	-0,007	8,819
18,1	0,009	-0,003	8,854
18,2	0,010	0,006	8,819
18,3	0,012	0,011	8,959
18,4	0,012	0,006	8,976
18,5	0,011	-0,005	8,976
18,6	0,009	-0,010	8,976
18,7	0,007	-0,004	9,046
18,8	0,006	0,004	9,099
18,9	0,007	0,004	9,134
19,0	0,010	-0,005	9,134
19,1	0,013	-0,013	9,134
19,2	0,014	-0,010	9,151
19,3	0,013	0,000	9,256
19,4	0,009	0,007	9,291
19,5	0,006	0,006	9,291
19,6	0,003	0,003	9,291
19,7	0,004	0,003	9,309
19,8	0,006	0,003	9,361
19,9	0,009	0,000	9,449
20,0	0,013	-0,008	9,449
20,1	0,015	-0,015	9,449
20,2	0,016	-0,015	9,449
20,3	0,016	-0,008	9,501
20,4	0,015	0,000	9,589
20,5	0,014	0,007	9,606
20,6	0,012	0,011	9,606
20,7	0,011	0,010	9,606
20,8	0,009	0,006	9,606
20,9	0,007	0,000	9,746
21,0	0,005	-0,004	9,764
21,1	0,003	-0,003	9,764
21,2	0,002	-0,002	9,764
21,3	0,002	-0,002	9,781
21,4	0,003	-0,003	9,781
21,5	0,004	-0,003	9,921
21,6	0,004	-0,003	9,921
21,7	0,005	-0,002	9,921
21,8	0,004	-0,001	9,921
21,9	0,003	0,001	10,079
22,0	0,002	0,002	10,079
22,1	0,002	0,001	10,079
22,2	0,003	-0,002	10,079
22,3	0,005	-0,005	10,184
22,4	0,007	-0,006	10,201
22,5	0,009	-0,004	10,236
22,6	0,011	-0,001	10,236
22,7	0,013	0,003	10,236
22,8	0,014	0,007	10,236
22,9	0,016	0,013	10,359
23,0	0,017	0,017	10,394
23,1	0,016	0,016	10,394
23,2	0,015	0,012	10,394
23,3	0,014	0,007	10,411
23,4	0,012	0,002	10,464
23,5	0,012	-0,002	10,534
23,6	0,013	-0,007	10,551
23,7	0,014	-0,012	10,551
23,8	0,015	-0,015	10,551
23,9	0,016	-0,014	10,604
24,0	0,018	-0,010	10,551
24,1	0,019	-0,001	10,709
24,2	0,020	0,009	10,709
24,3	0,019	0,016	10,709
24,4	0,017	0,017	10,709
24,5	0,015	0,014	10,831
24,6	0,011	0,008	10,866
24,7	0,008	0,002	10,866
24,8	0,006	-0,002	10,866
24,9	0,005	-0,001	10,884
25,0	0,006	0,006	10,919
25,1	0,010	0,010	11,024
25,2	0,015	0,002	11,024
25,3	0,019	-0,012	11,024
25,4	0,020	-0,018	11,024
25,5	0,016	-0,009	11,041
25,6	0,010	0,003	11,076
25,7	0,006	0,005	11,181
25,8	0,006	0,000	11,181
25,9	0,011	0,002	11,181
26,0	0,018	0,014	11,216
26,1	0,021	0,020	11,321
26,2	0,018	0,012	11,339
26,3	0,012	-0,001	11,339
26,4	0,007	-0,003	11,339
26,5	0,007	0,000	11,374
26,6	0,013	-0,006	11,374
26,7	0,018	-0,016	11,496
26,8	0,018	-0,016	11,496
26,9	0,014	-0,003	11,496
27,0	0,009	0,005	11,496
27,1	0,010	-0,002	11,531
27,2	0,018	-0,006	11,584
27,3	0,027	0,010	11,654
27,4	0,032	0,031	11,654
27,5	0,028	0,027	11,654
27,6	0,018	0,004	11,654
27,7	0,011	-0,003	11,776
27,8	0,012	0,013	11,811
27,9	0,020	0,018	11,811
28,0	0,028	-0,008	11,811
28,1	0,033	-0,030	11,829
28,2	0,031	-0,011	11,846
28,3	0,027	0,022	11,969
28,4	0,025	0,015	11,969
28,5	0,027	-0,023	11,969
28,6	0,032	-0,027	11,969
28,7	0,035	0,012	12,056
28,8	0,034	0,024	12,073
28,9	0,029	-0,020	12,126
29,0	0,027	-0,035	12,126
29,1	0,042	0,025	12,126
29,2	0,094	0,026	12,126
29,3	0,205	-0,168	12,283
29,4	0,388	-0,363	12,283
29,5	0,634	-0,127	12,283
29,6	0,902	0,593	12,283
29,7	1,133	1,118	12,283
29,8	1,284	0,670	12,283
29,9	1,347	-0,568	12,458
30,0	1,361	-1,367	12,441
30,1	1,375	-0,761	12,441
30,2	1,412	0,702	12,441
30,3	1,447	1,432	12,441
30,4	1,432	0,615	12,563
30,5	1,339	-0,797	12,738
30,6	1,199	-1,194	12,598
30,7	1,085	-0,215	12,598
30,8	1,055	0,899	12,581
30,9	1,092	0,871	12,703
31,0	1,110	-0,142	12,756
31,1	1,014	-0,914	12,878
31,2	0,782	-0,719	12,756
31,3	0,495	-0,054	12,756
31,4	0,282	0,202	12,861
31,5	0,234	-0,095	12,913
31,6	0,330	-0,364	12,913
31,7	0,461	-0,190	12,913
31,8	0,513	0,204	12,913
31,9	0,447	0,390	12,983
32,0	0,314	0,298	13,071
32,1	0,203	0,171	13,071
32,2	0,164	0,143	13,071
32,3	0,177	0,116	13,106
32,4	0,186	0,010	13,123
32,5	0,155	-0,084	13,228
32,6	0,098	-0,074	13,228
32,7	0,062	-0,024	13,228
32,8	0,075	-0,053	13,228
32,9	0,123	-0,133	13,351
33,0	0,160	-0,137	13,368
33,1	0,151	-0,036	13,386
33,2	0,100	0,055	13,386
33,3	0,043	0,049	13,386
33,4	0,015	0,001	13,386
33,5	0,023	0,005	13,543
33,6	0,048	0,049	13,543
33,7	0,062	0,052	13,543
33,8	0,057	-0,001	13,543
33,9	0,041	-0,034	13,543
34,0	0,032	-0,002	13,543
34,1	0,035	0,042	13,701
34,2	0,043	0,034	13,701
34,3	0,047	-0,012	13,701
34,4	0,040	-0,031	13,701
34,5	0,029	-0,003	13,788
34,6	0,020	0,024	13,806
34,7	0,015	0,017	13,858
34,8	0,015	-0,005	13,858
34,9	0,016	-0,006	13,858
35,0	0,017	0,010	13,876
35,1	0,019	0,011	14,016
35,2	0,023	-0,009	13,998
35,3	0,026	-0,026	14,016
35,4	0,025	-0,023	14,016
35,5	0,022	-0,015	14,016
35,6	0,021	-0,018	14,016
35,7	0,027	-0,025	14,173
35,8	0,038	-0,018	14,173
35,9	0,051	0,010	14,173
36,0	0,060	0,042	14,173
36,1	0,064	0,060	14,208
36,2	0,062	0,057	14,278
36,3	0,059	0,036	14,331
36,4	0,057	0,008	14,331
36,5	0,056	-0,019	14,331
36,6	0,057	-0,041	14,348
36,7	0,057	-0,054	14,471
36,8	0,057	-0,054	14,488
36,9	0,055	-0,034	14,488
37,0	0,048	0,000	14,488
37,1	0,038	0,025	14,488
37,2	0,026	0,025	14,506
37,3	0,018	0,012	14,646
37,4	0,020	0,012	14,646
37,5	0,033	0,035	14,646
37,6	0,052	0,053	14,646
37,7	0,069	0,035	14,681
37,8	0,074	-0,013	14,768
37,9	0,066	-0,051	14,803
38,0	0,049	-0,052	14,803
38,1	0,031	-0,028	14,803
38,2	0,021	-0,012	14,803
38,3	0,020	-0,015	14,943
38,4	0,025	-0,019	14,961
38,5	0,030	-0,010	14,961
38,6	0,031	0,007	14,961
38,7	0,030	0,018	14,961
38,8	0,029	0,023	14,996
38,9	0,030	0,029	15,118
39,0	0,035	0,035	15,118
39,1	0,039	0,030	15,118
39,2	0,040	0,008	15,118
39,3	0,036	-0,016	15,276
39,4	0,028	-0,025	15,276
39,5	0,017	-0,017	15,276
39,6	0,008	-0,006	15,276
39,7	0,003	-0,002	15,276
39,8	0,001	-0,001	15,276
39,9	0,003	0,002	15,416
40,0	0,008	0,003	15,433
40,1	0,015	-0,006	15,433
