20	-1.585	0.24	1	143
20	-1.658	0.25	1	140
20	-1.766	0.27	1	137
20	-1.857	0.29	1	134
20	-1.927	0.32	1	131
20	-1.966	0.34	1	128
20	-1.957	0.37	1	125
20	-1.877	0.41	1	122
20	-1.671	0.45	1	119
20	-1.418	0.48	1	116
20	-1.026	0.52	1	113
20	-0.395	0.57	1	110
20	0.439	0.62	1	107
20	1.585	0.68	1	104
20	2.631	0.72	1	101
20	4.303	0.78	1	98
20	5.583	0.81	1	95
20	7.986	0.88	1	92
20	9.893	0.92	1	89
20	11.861	0.95	1	86
20	13.357	0.97	1	83
20	15.072	1.00	1	80
20	16.835	1.01	1	77
20	18.256	1.02	1	74
20	19.350	1.03	1	71
20	19.532	1.03	1	68
20	21.240	1.02	1	65
20	21.939	1.02	1	62
20	22.364	1.01	1	59
20	22.848	0.99	1	56
20	23.164	0.98	1	53
20	23.388	0.96	1	50
20	23.490	0.95	1	47
20	23.622	0.93	1	44
20	23.675	0.91	1	41
20	23.743	0.89	1	38
20	23.749	0.88	1	35
20	23.750	0.86	1	32
20	23.736	0.84	1	29
20	23.720	0.83	1	26
