waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.002850	6.005792E-1
01-01-1904  00:00:00.002875	6.158784E-1
01-01-1904  00:00:00.002900	6.095037E-1
01-01-1904  00:00:00.002925	6.209782E-1
01-01-1904  00:00:00.002950	6.120536E-1
01-01-1904  00:00:00.002975	6.158784E-1
01-01-1904  00:00:00.003000	6.197033E-1
01-01-1904  00:00:00.003025	6.056789E-1
01-01-1904  00:00:00.003050	6.235281E-1
01-01-1904  00:00:00.003075	6.120536E-1
01-01-1904  00:00:00.003100	6.158784E-1
01-01-1904  00:00:00.003125	6.069539E-1
01-01-1904  00:00:00.003150	6.158784E-1
01-01-1904  00:00:00.003175	6.158784E-1
01-01-1904  00:00:00.003200	6.197033E-1
01-01-1904  00:00:00.003225	6.069539E-1
01-01-1904  00:00:00.003250	6.171534E-1
01-01-1904  00:00:00.003275	6.107787E-1
01-01-1904  00:00:00.003300	6.184283E-1
01-01-1904  00:00:00.003325	6.171534E-1
01-01-1904  00:00:00.003350	6.107787E-1
01-01-1904  00:00:00.003375	6.107787E-1
01-01-1904  00:00:00.003400	6.184283E-1
01-01-1904  00:00:00.003425	6.095037E-1
01-01-1904  00:00:00.003450	6.184283E-1
01-01-1904  00:00:00.003475	6.107787E-1
01-01-1904  00:00:00.003500	6.120536E-1
01-01-1904  00:00:00.003525	6.120536E-1
01-01-1904  00:00:00.003550	6.158784E-1
01-01-1904  00:00:00.003575	6.222531E-1
01-01-1904  00:00:00.003600	6.069539E-1
01-01-1904  00:00:00.003625	6.171534E-1
01-01-1904  00:00:00.003650	6.107787E-1
01-01-1904  00:00:00.003675	6.209782E-1
01-01-1904  00:00:00.003700	6.107787E-1
01-01-1904  00:00:00.003725	6.171534E-1
01-01-1904  00:00:00.003750	6.107787E-1
01-01-1904  00:00:00.003775	6.107787E-1
01-01-1904  00:00:00.003800	6.146035E-1
01-01-1904  00:00:00.003825	6.158784E-1
01-01-1904  00:00:00.003850	6.120536E-1
01-01-1904  00:00:00.003875	6.095037E-1
01-01-1904  00:00:00.003900	6.158784E-1
01-01-1904  00:00:00.003925	6.146035E-1
01-01-1904  00:00:00.003950	6.248030E-1
01-01-1904  00:00:00.003975	6.044040E-1
01-01-1904  00:00:00.004000	6.184283E-1
01-01-1904  00:00:00.004025	6.095037E-1
01-01-1904  00:00:00.004050	6.222531E-1
01-01-1904  00:00:00.004075	6.133286E-1
01-01-1904  00:00:00.004100	6.158784E-1
01-01-1904  00:00:00.004125	6.133286E-1
01-01-1904  00:00:00.004150	6.082288E-1
01-01-1904  00:00:00.004175	6.158784E-1
01-01-1904  00:00:00.004200	6.158784E-1
01-01-1904  00:00:00.004225	6.171534E-1
01-01-1904  00:00:00.004250	6.082288E-1
01-01-1904  00:00:00.004275	6.133286E-1
01-01-1904  00:00:00.004300	6.146035E-1
01-01-1904  00:00:00.004325	6.197033E-1
01-01-1904  00:00:00.004350	6.069539E-1
01-01-1904  00:00:00.004375	6.146035E-1
01-01-1904  00:00:00.004400	6.107787E-1
01-01-1904  00:00:00.004425	6.158784E-1
01-01-1904  00:00:00.004450	6.158784E-1
01-01-1904  00:00:00.004475	6.146035E-1
01-01-1904  00:00:00.004500	6.133286E-1
01-01-1904  00:00:00.004525	6.184283E-1
01-01-1904  00:00:00.004550	6.056789E-1
01-01-1904  00:00:00.004575	6.235281E-1
01-01-1904  00:00:00.004600	6.095037E-1
01-01-1904  00:00:00.004625	6.197033E-1
01-01-1904  00:00:00.004650	6.095037E-1
01-01-1904  00:00:00.004675	6.171534E-1
01-01-1904  00:00:00.004700	6.171534E-1
01-01-1904  00:00:00.004725	6.158784E-1
01-01-1904  00:00:00.004750	6.095037E-1
01-01-1904  00:00:00.004775	6.107787E-1
01-01-1904  00:00:00.004800	6.146035E-1
01-01-1904  00:00:00.004825	6.146035E-1
01-01-1904  00:00:00.004850	6.158784E-1
01-01-1904  00:00:00.004875	6.133286E-1
01-01-1904  00:00:00.004900	6.120536E-1
01-01-1904  00:00:00.004925	6.171534E-1
01-01-1904  00:00:00.004950	6.107787E-1
01-01-1904  00:00:00.004975	6.235281E-1
01-01-1904  00:00:00.005000	6.107787E-1
01-01-1904  00:00:00.005025	6.146035E-1
01-01-1904  00:00:00.005050	6.120536E-1
01-01-1904  00:00:00.005075	6.158784E-1
01-01-1904  00:00:00.005100	6.171534E-1
01-01-1904  00:00:00.005125	6.146035E-1
