time,Y[0],col_2
01-01-1904,00:00:00.000000,0.6056789
01-01-1904,00:00:00.000025,0.6018541
01-01-1904,00:00:00.000050,0.6056789
01-01-1904,00:00:00.000075,0.604404
01-01-1904,00:00:00.000100,0.604404
01-01-1904,00:00:00.000125,0.6082288
01-01-1904,00:00:00.000150,0.6082288
01-01-1904,00:00:00.000175,0.5929295
01-01-1904,00:00:00.000200,0.6095037
01-01-1904,00:00:00.000225,0.603129
01-01-1904,00:00:00.000250,0.6107787
01-01-1904,00:00:00.000275,0.5993042
01-01-1904,00:00:00.000300,0.603129
01-01-1904,00:00:00.000325,0.6056789
01-01-1904,00:00:00.000350,0.604404
01-01-1904,00:00:00.000375,0.5993042
01-01-1904,00:00:00.000400,0.6005792
01-01-1904,00:00:00.000425,0.6056789
01-01-1904,00:00:00.000450,0.6069539
01-01-1904,00:00:00.000475,0.6056789
01-01-1904,00:00:00.000500,0.6018541
01-01-1904,00:00:00.000525,0.6120536
01-01-1904,00:00:00.000550,0.5967543
01-01-1904,00:00:00.000575,0.6120536
01-01-1904,00:00:00.000600,0.6005792
01-01-1904,00:00:00.000625,0.6082288
01-01-1904,00:00:00.000650,0.6018541
01-01-1904,00:00:00.000675,0.6107787
01-01-1904,00:00:00.000700,0.604404
01-01-1904,00:00:00.000725,0.603129
01-01-1904,00:00:00.000750,0.6018541
01-01-1904,00:00:00.000775,0.6082288
01-01-1904,00:00:00.000800,0.603129
01-01-1904,00:00:00.000825,0.6095037
01-01-1904,00:00:00.000850,0.604404
01-01-1904,00:00:00.000875,0.6095037
01-01-1904,00:00:00.000900,0.6082288
01-01-1904,00:00:00.000925,0.6082288
01-01-1904,00:00:00.000950,0.6069539
01-01-1904,00:00:00.000975,0.5954794
01-01-1904,00:00:00.001000,0.6133286
01-01-1904,00:00:00.001025,0.6069539
01-01-1904,00:00:00.001050,0.6095037
01-01-1904,00:00:00.001075,0.603129
01-01-1904,00:00:00.001100,0.6082288
01-01-1904,00:00:00.001125,0.6184283
01-01-1904,00:00:00.001150,0.5993042
01-01-1904,00:00:00.001175,0.6120536
01-01-1904,00:00:00.001200,0.604404
01-01-1904,00:00:00.001225,0.6120536
01-01-1904,00:00:00.001250,0.604404
01-01-1904,00:00:00.001275,0.6107787
01-01-1904,00:00:00.001300,0.6056789
01-01-1904,00:00:00.001325,0.603129
01-01-1904,00:00:00.001350,0.6133286
01-01-1904,00:00:00.001375,0.6082288
01-01-1904,00:00:00.001400,0.6069539
01-01-1904,00:00:00.001425,0.603129
01-01-1904,00:00:00.001450,0.6133286
01-01-1904,00:00:00.001475,0.6095037
01-01-1904,00:00:00.001500,0.6107787
01-01-1904,00:00:00.001525,0.6082288
01-01-1904,00:00:00.001550,0.603129
01-01-1904,00:00:00.001575,0.6146035
01-01-1904,00:00:00.001600,0.6082288
01-01-1904,00:00:00.001625,0.6095037
01-01-1904,00:00:00.001650,0.6018541
01-01-1904,00:00:00.001675,0.6120536
01-01-1904,00:00:00.001700,0.6107787
01-01-1904,00:00:00.001725,0.6107787
01-01-1904,00:00:00.001750,0.6005792
01-01-1904,00:00:00.001775,0.6133286
01-01-1904,00:00:00.001800,0.6056789
01-01-1904,00:00:00.001825,0.6107787
01-01-1904,00:00:00.001850,0.6069539
01-01-1904,00:00:00.001875,0.6056789
01-01-1904,00:00:00.001900,0.6146035
01-01-1904,00:00:00.001925,0.6056789
01-01-1904,00:00:00.001950,0.6158784
01-01-1904,00:00:00.001975,0.603129
01-01-1904,00:00:00.002000,0.6082288
01-01-1904,00:00:00.002025,0.6056789
01-01-1904,00:00:00.002050,0.6158784
01-01-1904,00:00:00.002075,0.6069539
01-01-1904,00:00:00.002100,0.6158784
01-01-1904,00:00:00.002125,0.6018541
01-01-1904,00:00:00.002150,0.6146035
01-01-1904,00:00:00.002175,0.6082288
01-01-1904,00:00:00.002200,0.6133286
01-01-1904,00:00:00.002225,0.604404
01-01-1904,00:00:00.002250,0.6082288
01-01-1904,00:00:00.002275,0.6120536
01-01-1904,00:00:00.002300,0.6133286
01-01-1904,00:00:00.002325,0.6184283
01-01-1904,00:00:00.002350,0.5993042
01-01-1904,00:00:00.002375,0.6158784
01-01-1904,00:00:00.002400,0.6082288
01-01-1904,00:00:00.002425,0.6184283
01-01-1904,00:00:00.002450,0.603129
01-01-1904,00:00:00.002475,0.6107787
01-01-1904,00:00:00.002500,0.6158784
01-01-1904,00:00:00.002525,0.6056789
01-01-1904,00:00:00.002550,0.6158784
01-01-1904,00:00:00.002575,0.6069539
01-01-1904,00:00:00.002600,0.6146035
01-01-1904,00:00:00.002625,0.6082288
01-01-1904,00:00:00.002650,0.6158784
01-01-1904,00:00:00.002675,0.6095037
01-01-1904,00:00:00.002700,0.6095037
01-01-1904,00:00:00.002725,0.6056789
01-01-1904,00:00:00.002750,0.6107787
01-01-1904,00:00:00.002775,0.6146035
01-01-1904,00:00:00.002800,0.6107787
01-01-1904,00:00:00.002825,0.6069539
01-01-1904,00:00:00.002850,0.6120536
01-01-1904,00:00:00.002875,0.6095037
01-01-1904,00:00:00.002900,0.6222531
01-01-1904,00:00:00.002925,0.6005792
01-01-1904,00:00:00.002950,0.6158784
01-01-1904,00:00:00.002975,0.6069539
01-01-1904,00:00:00.003000,0.6197033
01-01-1904,00:00:00.003025,0.6107787
01-01-1904,00:00:00.003050,0.6146035
01-01-1904,00:00:00.003075,0.6107787
01-01-1904,00:00:00.003100,0.6056789
01-01-1904,00:00:00.003125,0.6184283
01-01-1904,00:00:00.003150,0.6120536
01-01-1904,00:00:00.003175,0.6107787
01-01-1904,00:00:00.003200,0.6056789
01-01-1904,00:00:00.003225,0.6146035
01-01-1904,00:00:00.003250,0.6133286
01-01-1904,00:00:00.003275,0.6222531
01-01-1904,00:00:00.003300,0.6005792
01-01-1904,00:00:00.003325,0.6146035
01-01-1904,00:00:00.003350,0.6107787
01-01-1904,00:00:00.003375,0.6197033
01-01-1904,00:00:00.003400,0.6095037
01-01-1904,00:00:00.003425,0.6158784
01-01-1904,00:00:00.003450,0.6095037
01-01-1904,00:00:00.003475,0.6184283
01-01-1904,00:00:00.003500,0.6056789
01-01-1904,00:00:00.003525,0.6158784
01-01-1904,00:00:00.003550,0.6056789
01-01-1904,00:00:00.003575,0.6158784
01-01-1904,00:00:00.003600,0.6095037
01-01-1904,00:00:00.003625,0.6171534
01-01-1904,00:00:00.003650,0.6107787
01-01-1904,00:00:00.003675,0.6107787
01-01-1904,00:00:00.003700,0.6056789
01-01-1904,00:00:00.003725,0.6171534
01-01-1904,00:00:00.003750,0.6082288
01-01-1904,00:00:00.003775,0.6146035
01-01-1904,00:00:00.003800,0.6069539
01-01-1904,00:00:00.003825,0.6107787
01-01-1904,00:00:00.003850,0.6222531
01-01-1904,00:00:00.003875,0.6082288
01-01-1904,00:00:00.003900,0.6197033
01-01-1904,00:00:00.003925,0.604404
01-01-1904,00:00:00.003950,0.6158784
01-01-1904,00:00:00.003975,0.6107787
01-01-1904,00:00:00.004000,0.6146035
01-01-1904,00:00:00.004025,0.6133286
01-01-1904,00:00:00.004050,0.6133286
01-01-1904,00:00:00.004075,0.603129
01-01-1904,00:00:00.004100,0.6209782
01-01-1904,00:00:00.004125,0.6107787
01-01-1904,00:00:00.004150,0.6158784
01-01-1904,00:00:00.004175,0.6082288
01-01-1904,00:00:00.004200,0.6133286
01-01-1904,00:00:00.004225,0.6209782
01-01-1904,00:00:00.004250,0.6095037
01-01-1904,00:00:00.004275,0.6171534
01-01-1904,00:00:00.004300,0.6056789
01-01-1904,00:00:00.004325,0.6133286
01-01-1904,00:00:00.004350,0.6107787
01-01-1904,00:00:00.004375,0.6197033
01-01-1904,00:00:00.004400,0.6107787
01-01-1904,00:00:00.004425,0.6146035
01-01-1904,00:00:00.004450,0.6056789
01-01-1904,00:00:00.004475,0.6184283
01-01-1904,00:00:00.004500,0.6095037
01-01-1904,00:00:00.004525,0.6158784
01-01-1904,00:00:00.004550,0.6082288
01-01-1904,00:00:00.004575,0.6107787
01-01-1904,00:00:00.004600,0.624803
01-01-1904,00:00:00.004625,0.6095037
01-01-1904,00:00:00.004650,0.6197033
01-01-1904,00:00:00.004675,0.6095037
01-01-1904,00:00:00.004700,0.6171534
01-01-1904,00:00:00.004725,0.6107787
01-01-1904,00:00:00.004750,0.6197033
01-01-1904,00:00:00.004775,0.6133286
01-01-1904,00:00:00.004800,0.6209782
01-01-1904,00:00:00.004825,0.6018541
01-01-1904,00:00:00.004850,0.6209782
01-01-1904,00:00:00.004875,0.6107787
01-01-1904,00:00:00.004900,0.6184283
01-01-1904,00:00:00.004925,0.6107787
01-01-1904,00:00:00.004950,0.6158784
01-01-1904,00:00:00.004975,0.6146035
01-01-1904,00:00:00.005000,0.6120536
01-01-1904,00:00:00.005025,0.6171534
01-01-1904,00:00:00.005050,0.6107787
01-01-1904,00:00:00.005075,0.6133286
01-01-1904,00:00:00.005100,0.6133286
01-01-1904,00:00:00.005125,0.6158784
01-01-1904,00:00:00.005150,0.6120536
01-01-1904,00:00:00.005175,0.6235281
01-01-1904,00:00:00.005200,0.604404
01-01-1904,00:00:00.005225,0.6184283
01-01-1904,00:00:00.005250,0.6133286
01-01-1904,00:00:00.005275,0.6209782
01-01-1904,00:00:00.005300,0.6107787
01-01-1904,00:00:00.005325,0.6146035
01-01-1904,00:00:00.005350,0.6133286
01-01-1904,00:00:00.005375,0.6158784
01-01-1904,00:00:00.005400,0.6107787
01-01-1904,00:00:00.005425,0.6184283
01-01-1904,00:00:00.005450,0.6082288
01-01-1904,00:00:00.005475,0.6133286
01-01-1904,00:00:00.005500,0.6133286
01-01-1904,00:00:00.005525,0.6184283
01-01-1904,00:00:00.005550,0.6235281
01-01-1904,00:00:00.005575,0.6082288
01-01-1904,00:00:00.005600,0.6209782
01-01-1904,00:00:00.005625,0.6107787
01-01-1904,00:00:00.005650,0.6222531
01-01-1904,00:00:00.005675,0.6146035
01-01-1904,00:00:00.005700,0.6146035
01-01-1904,00:00:00.005725,0.6095037
01-01-1904,00:00:00.005750,0.6158784
01-01-1904,00:00:00.005775,0.6209782
01-01-1904,00:00:00.005800,0.6069539
01-01-1904,00:00:00.005825,0.6209782
01-01-1904,00:00:00.005850,0.6069539
01-01-1904,00:00:00.005875,0.6158784
01-01-1904,00:00:00.005900,0.6158784
01-01-1904,00:00:00.005925,0.6209782
01-01-1904,00:00:00.005950,0.6146035
01-01-1904,00:00:00.005975,0.6171534
01-01-1904,00:00:00.006000,0.6095037
01-01-1904,00:00:00.006025,0.6184283
01-01-1904,00:00:00.006050,0.6158784
01-01-1904,00:00:00.006075,0.6197033
01-01-1904,00:00:00.006100,0.6120536
01-01-1904,00:00:00.006125,0.6120536
01-01-1904,00:00:00.006150,0.6235281
01-01-1904,00:00:00.006175,0.6069539
01-01-1904,00:00:00.006200,0.6209782
01-01-1904,00:00:00.006225,0.6107787
01-01-1904,00:00:00.006250,0.6197033
01-01-1904,00:00:00.006275,0.6082288
01-01-1904,00:00:00.006300,0.6209782
01-01-1904,00:00:00.006325,0.6235281
01-01-1904,00:00:00.006350,0.6095037
01-01-1904,00:00:00.006375,0.6209782
01-01-1904,00:00:00.006400,0.6107787
01-01-1904,00:00:00.006425,0.6197033
01-01-1904,00:00:00.006450,0.6158784
01-01-1904,00:00:00.006475,0.6209782
01-01-1904,00:00:00.006500,0.6107787
01-01-1904,00:00:00.006525,0.6146035
01-01-1904,00:00:00.006550,0.6158784
01-01-1904,00:00:00.006575,0.6107787
01-01-1904,00:00:00.006600,0.6158784
01-01-1904,00:00:00.006625,0.6146035
01-01-1904,00:00:00.006650,0.6146035
01-01-1904,00:00:00.006675,0.6107787
01-01-1904,00:00:00.006700,0.6197033
01-01-1904,00:00:00.006725,0.6184283
01-01-1904,00:00:00.006750,0.6184283
01-01-1904,00:00:00.006775,0.6120536
01-01-1904,00:00:00.006800,0.6146035
01-01-1904,00:00:00.006825,0.6158784
01-01-1904,00:00:00.006850,0.6197033
01-01-1904,00:00:00.006875,0.6171534
01-01-1904,00:00:00.006900,0.6158784
01-01-1904,00:00:00.006925,0.6107787
01-01-1904,00:00:00.006950,0.624803
01-01-1904,00:00:00.006975,0.6069539
01-01-1904,00:00:00.007000,0.6222531
01-01-1904,00:00:00.007025,0.6107787
01-01-1904,00:00:00.007050,0.6184283
01-01-1904,00:00:00.007075,0.6107787
01-01-1904,00:00:00.007100,0.6222531
01-01-1904,00:00:00.007125,0.6209782
01-01-1904,00:00:00.007150,0.6107787
01-01-1904,00:00:00.007175,0.6158784
01-01-1904,00:00:00.007200,0.6107787
01-01-1904,00:00:00.007225,0.6197033
01-01-1904,00:00:00.007250,0.6171534
01-01-1904,00:00:00.007275,0.6209782
01-01-1904,00:00:00.007300,0.6146035
01-01-1904,00:00:00.007325,0.6146035
01-01-1904,00:00:00.007350,0.6158784
01-01-1904,00:00:00.007375,0.6107787
01-01-1904,00:00:00.007400,0.6209782
01-01-1904,00:00:00.007425,0.6184283
01-01-1904,00:00:00.007450,0.6133286
01-01-1904,00:00:00.007475,0.6133286
01-01-1904,00:00:00.007500,0.6158784
01-01-1904,00:00:00.007525,0.6184283
01-01-1904,00:00:00.007550,0.6133286
01-01-1904,00:00:00.007575,0.6158784
01-01-1904,00:00:00.007600,0.6120536
01-01-1904,00:00:00.007625,0.6146035
01-01-1904,00:00:00.007650,0.6171534
01-01-1904,00:00:00.007675,0.6209782
01-01-1904,00:00:00.007700,0.6158784
01-01-1904,00:00:00.007725,0.6197033
01-01-1904,00:00:00.007750,0.6107787
01-01-1904,00:00:00.007775,0.6171534
01-01-1904,00:00:00.007800,0.6184283
01-01-1904,00:00:00.007825,0.6222531
01-01-1904,00:00:00.007850,0.6158784
01-01-1904,00:00:00.007875,0.6184283
01-01-1904,00:00:00.007900,0.6158784
01-01-1904,00:00:00.007925,0.6184283
01-01-1904,00:00:00.007950,0.6158784
01-01-1904,00:00:00.007975,0.6197033
01-01-1904,00:00:00.008000,0.6158784
01-01-1904,00:00:00.008025,0.6158784
01-01-1904,00:00:00.008050,0.6158784
01-01-1904,00:00:00.008075,0.6197033
01-01-1904,00:00:00.008100,0.6184283
01-01-1904,00:00:00.008125,0.6222531
01-01-1904,00:00:00.008150,0.6056789
01-01-1904,00:00:00.008175,0.6197033
01-01-1904,00:00:00.008200,0.6120536
01-01-1904,00:00:00.008225,0.6209782
01-01-1904,00:00:00.008250,0.6158784
01-01-1904,00:00:00.008275,0.6184283
01-01-1904,00:00:00.008300,0.6209782
01-01-1904,00:00:00.008325,0.6056789
01-01-1904,00:00:00.008350,0.626078
01-01-1904,00:00:00.008375,0.6146035
01-01-1904,00:00:00.008400,0.6209782
01-01-1904,00:00:00.008425,0.6158784
01-01-1904,00:00:00.008450,0.6158784
01-01-1904,00:00:00.008475,0.6184283
01-01-1904,00:00:00.008500,0.6158784
01-01-1904,00:00:00.008525,0.6197033
01-01-1904,00:00:00.008550,0.6158784
01-01-1904,00:00:00.008575,0.6197033
01-01-1904,00:00:00.008600,0.6120536
01-01-1904,00:00:00.008625,0.6184283
01-01-1904,00:00:00.008650,0.6197033
01-01-1904,00:00:00.008675,0.6197033
01-01-1904,00:00:00.008700,0.6146035
01-01-1904,00:00:00.008725,0.6146035
01-01-1904,00:00:00.008750,0.6133286
01-01-1904,00:00:00.008775,0.6158784
01-01-1904,00:00:00.008800,0.6209782
01-01-1904,00:00:00.008825,0.6158784
01-01-1904,00:00:00.008850,0.6197033
01-01-1904,00:00:00.008875,0.6107787
01-01-1904,00:00:00.008900,0.6158784
01-01-1904,00:00:00.008925,0.6197033
01-01-1904,00:00:00.008950,0.6197033
01-01-1904,00:00:00.008975,0.6158784
01-01-1904,00:00:00.009000,0.6197033
01-01-1904,00:00:00.009025,0.6158784
01-01-1904,00:00:00.009050,0.624803
01-01-1904,00:00:00.009075,0.6107787
01-01-1904,00:00:00.009100,0.6273529
01-01-1904,00:00:00.009125,0.6095037
01-01-1904,00:00:00.009150,0.6171534
01-01-1904,00:00:00.009175,0.6146035
01-01-1904,00:00:00.009200,0.6197033
01-01-1904,00:00:00.009225,0.626078
01-01-1904,00:00:00.009250,0.6120536
01-01-1904,00:00:00.009275,0.6235281
01-01-1904,00:00:00.009300,0.6095037
01-01-1904,00:00:00.009325,0.6209782
01-01-1904,00:00:00.009350,0.6158784
01-01-1904,00:00:00.009375,0.6235281
01-01-1904,00:00:00.009400,0.6209782
01-01-1904,00:00:00.009425,0.6082288
01-01-1904,00:00:00.009450,0.6171534
01-01-1904,00:00:00.009475,0.6146035
01-01-1904,00:00:00.009500,0.6209782
01-01-1904,00:00:00.009525,0.6184283
