time,Y[0],col_2
01-01-1904,00:00:00.000000,0.604404
01-01-1904,00:00:00.000025,0.603129
01-01-1904,00:00:00.000050,0.6056789
01-01-1904,00:00:00.000075,0.6107787
01-01-1904,00:00:00.000100,0.5967543
01-01-1904,00:00:00.000125,0.6133286
01-01-1904,00:00:00.000150,0.6005792
01-01-1904,00:00:00.000175,0.6082288
01-01-1904,00:00:00.000200,0.6018541
01-01-1904,00:00:00.000225,0.6107787
01-01-1904,00:00:00.000250,0.6056789
01-01-1904,00:00:00.000275,0.6056789
01-01-1904,00:00:00.000300,0.5954794
01-01-1904,00:00:00.000325,0.6120536
01-01-1904,00:00:00.000350,0.6056789
01-01-1904,00:00:00.000375,0.6056789
01-01-1904,00:00:00.000400,0.5993042
01-01-1904,00:00:00.000425,0.6082288
01-01-1904,00:00:00.000450,0.6069539
01-01-1904,00:00:00.000475,0.6107787
01-01-1904,00:00:00.000500,0.5942044
01-01-1904,00:00:00.000525,0.6107787
01-01-1904,00:00:00.000550,0.603129
01-01-1904,00:00:00.000575,0.6095037
01-01-1904,00:00:00.000600,0.604404
01-01-1904,00:00:00.000625,0.6082288
01-01-1904,00:00:00.000650,0.6082288
01-01-1904,00:00:00.000675,0.6056789
01-01-1904,00:00:00.000700,0.6056789
01-01-1904,00:00:00.000725,0.603129
01-01-1904,00:00:00.000750,0.6069539
01-01-1904,00:00:00.000775,0.6069539
01-01-1904,00:00:00.000800,0.6082288
01-01-1904,00:00:00.000825,0.6056789
01-01-1904,00:00:00.000850,0.6158784
01-01-1904,00:00:00.000875,0.5954794
01-01-1904,00:00:00.000900,0.6146035
01-01-1904,00:00:00.000925,0.603129
01-01-1904,00:00:00.000950,0.6095037
01-01-1904,00:00:00.000975,0.604404
01-01-1904,00:00:00.001000,0.6133286
01-01-1904,00:00:00.001025,0.6056789
01-01-1904,00:00:00.001050,0.604404
01-01-1904,00:00:00.001075,0.5993042
01-01-1904,00:00:00.001100,0.6133286
01-01-1904,00:00:00.001125,0.6095037
01-01-1904,00:00:00.001150,0.604404
01-01-1904,00:00:00.001175,0.6056789
01-01-1904,00:00:00.001200,0.6069539
01-01-1904,00:00:00.001225,0.6133286
01-01-1904,00:00:00.001250,0.6095037
01-01-1904,00:00:00.001275,0.603129
01-01-1904,00:00:00.001300,0.6095037
01-01-1904,00:00:00.001325,0.6056789
01-01-1904,00:00:00.001350,0.6107787
01-01-1904,00:00:00.001375,0.6069539
01-01-1904,00:00:00.001400,0.604404
01-01-1904,00:00:00.001425,0.6095037
01-01-1904,00:00:00.001450,0.6107787
01-01-1904,00:00:00.001475,0.6056789
01-01-1904,00:00:00.001500,0.6056789
01-01-1904,00:00:00.001525,0.6056789
01-01-1904,00:00:00.001550,0.6146035
01-01-1904,00:00:00.001575,0.6107787
01-01-1904,00:00:00.001600,0.6107787
01-01-1904,00:00:00.001625,0.6056789
01-01-1904,00:00:00.001650,0.6158784
01-01-1904,00:00:00.001675,0.6056789
01-01-1904,00:00:00.001700,0.6120536
01-01-1904,00:00:00.001725,0.6069539
01-01-1904,00:00:00.001750,0.6133286
01-01-1904,00:00:00.001775,0.6082288
01-01-1904,00:00:00.001800,0.6146035
01-01-1904,00:00:00.001825,0.6069539
01-01-1904,00:00:00.001850,0.6069539
01-01-1904,00:00:00.001875,0.6005792
01-01-1904,00:00:00.001900,0.6146035
01-01-1904,00:00:00.001925,0.6095037
01-01-1904,00:00:00.001950,0.6107787
01-01-1904,00:00:00.001975,0.6069539
01-01-1904,00:00:00.002000,0.6133286
01-01-1904,00:00:00.002025,0.6235281
01-01-1904,00:00:00.002050,0.6018541
01-01-1904,00:00:00.002075,0.6158784
01-01-1904,00:00:00.002100,0.6056789
01-01-1904,00:00:00.002125,0.6158784
01-01-1904,00:00:00.002150,0.6069539
