depth[mm]	HF [V]	NF [V]	TGC [dB]
90,1	0,001	-0,001	0,000
90,2	0,001	-0,001	0,017
90,3	0,001	0,000	0,000
90,5	0,001	-0,001	0,000
90,6	0,002	-0,002	0,000
90,8	0,004	-0,001	0,000
90,9	0,005	0,002	0,000
91,0	0,006	0,005	0,000
91,2	0,006	0,006	0,000
91,3	0,005	0,003	0,017
91,5	0,004	0,000	0,000
91,6	0,002	-0,001	0,017
91,7	0,001	-0,001	0,000
91,9	0,001	0,000	0,017
92,0	0,001	0,000	0,000
92,2	0,001	-0,001	0,052
92,3	0,001	-0,001	0,000
92,4	0,001	0,000	0,000
92,6	0,001	0,000	0,000
92,7	0,001	0,000	0,000
92,9	0,001	0,000	0,000
93,0	0,001	0,000	0,000
93,1	0,001	0,000	0,000
93,3	0,001	0,000	0,017
93,4	0,000	0,000	0,000
93,5	0,000	0,000	0,017
93,7	0,000	0,000	0,000
93,8	0,000	0,000	0,017
94,0	0,000	0,000	0,017
94,1	0,000	0,000	0,000
94,2	0,000	0,000	0,000
94,4	0,000	0,000	0,052
94,5	0,000	0,000	0,000
94,7	0,000	0,000	0,000
94,8	0,000	0,000	0,000
94,9	0,000	0,000	0,017
95,1	0,000	0,000	0,000
95,2	0,000	0,000	0,000
95,4	0,000	0,000	0,000
95,5	0,000	0,000	0,000
95,6	0,001	0,000	0,000
95,8	0,001	-0,001	0,017
95,9	0,001	-0,001	0,000
96,0	0,000	0,000	0,035
96,2	0,000	0,000	0,000
96,3	0,000	0,000	0,017
96,5	0,000	0,000	0,000
96,6	0,000	0,000	0,035
96,7	0,000	0,000	0,000
96,9	0,000	0,000	0,017
97,0	0,000	0,000	0,000
97,2	0,000	0,000	0,017
97,3	0,000	0,000	0,000
97,4	0,000	0,000	0,017
97,6	0,000	0,000	0,000
97,7	0,000	0,000	0,035
97,9	0,000	0,000	0,000
98,0	0,000	0,000	0,000
98,1	0,000	0,000	0,000
98,3	0,000	0,000	0,000
98,4	0,000	0,000	0,000
98,6	0,000	0,000	0,017
98,7	0,000	0,000	0,000
98,8	0,000	0,000	0,017
99,0	0,000	0,000	0,000
99,1	0,000	0,000	0,000
99,2	0,000	0,000	0,000
99,4	0,001	0,000	0,000
99,5	0,001	0,000	0,000
99,7	0,000	0,000	0,000
99,8	0,000	0,000	0,000
99,9	0,000	0,000	0,000
100,1	0,000	0,000	0,000
100,2	0,000	0,000	0,000
100,4	0,000	0,000	0,000
100,5	0,000	0,000	0,017
100,6	0,001	0,000	0,000
100,8	0,001	0,000	0,017
100,9	0,001	0,001	0,000
101,1	0,001	0,001	0,087
101,2	0,001	0,000	0,000
101,3	0,001	0,000	0,017
101,5	0,000	-0,001	0,000
101,6	0,000	0,000	0,035
101,7	0,000	0,000	0,000
101,9	0,000	0,000	0,000
102,0	0,000	0,000	0,000
102,2	0,000	0,000	0,035
102,3	0,000	0,000	0,000
102,4	0,000	0,000	0,000
102,6	0,000	0,000	0,000
102,7	0,000	0,000	0,000
102,9	0,000	0,000	0,000
103,0	0,000	0,000	0,000
103,1	0,001	0,000	0,000
103,3	0,000	-0,001	0,052
103,4	0,001	0,000	0,000
103,6	0,001	0,001	0,000
103,7	0,002	0,000	0,000
103,8	0,003	-0,002	0,017
104,0	0,005	-0,005	0,000
104,1	0,007	-0,005	0,000
104,2	0,008	-0,001	0,000
104,4	0,009	0,006	0,035
104,5	0,009	0,009	0,000
104,7	0,009	0,007	0,000
104,8	0,009	0,001	0,000
104,9	0,009	-0,005	0,000
105,1	0,008	-0,007	0,000
105,2	0,006	-0,006	0,000
105,4	0,005	-0,003	0,000
105,5	0,004	-0,001	0,017
105,6	0,003	0,000	0,000
105,8	0,002	0,000	0,000
105,9	0,002	0,001	0,000
106,1	0,002	0,002	0,052
106,2	0,002	0,002	0,000
106,3	0,002	0,001	0,017
106,5	0,001	0,001	0,000
106,6	0,001	0,000	0,035
106,8	0,000	0,000	0,000
106,9	0,001	0,000	0,000
107,0	0,001	0,000	0,000
107,2	0,001	-0,001	0,017
107,3	0,001	-0,001	0,035
107,4	0,001	-0,001	0,035
107,6	0,001	0,000	0,000
107,7	0,000	0,000	0,035
107,9	0,000	0,000	0,017
108,0	0,001	0,000	0,017
108,1	0,001	0,000	0,000
108,3	0,001	0,000	0,000
108,4	0,001	0,001	0,000
108,6	0,001	0,001	0,017
108,7	0,000	0,000	0,000
108,8	0,000	0,000	0,000
109,0	0,000	0,000	0,000
109,1	0,000	0,000	0,000
109,3	0,000	0,000	0,000
109,4	0,000	0,000	0,017
109,5	0,000	0,000	0,000
109,7	0,000	0,000	0,000
109,8	0,000	0,000	0,000
109,9	0,000	0,000	0,017
110,1	0,000	0,000	0,000
110,2	0,001	0,000	0,000
110,4	0,001	0,000	0,000
110,5	0,001	0,000	0,017
110,6	0,001	0,001	0,000
110,8	0,001	0,001	0,017
110,9	0,001	0,000	0,000
111,1	0,000	0,000	0,052
111,2	0,000	0,000	0,000
111,3	0,000	0,000	0,000
111,5	0,000	0,000	0,000
111,6	0,000	0,000	0,000
111,8	0,000	0,000	0,000
111,9	0,000	0,000	0,000
112,0	0,000	0,000	0,017
112,2	0,000	0,000	0,017
112,3	0,000	0,000	0,000
112,5	0,000	0,000	0,000
112,6	0,000	0,000	0,000
112,7	0,000	0,000	0,017
112,9	0,000	0,000	0,000
113,0	0,000	0,000	0,000
113,1	0,000	0,000	0,000
113,3	0,000	0,000	0,035
113,4	0,000	0,000	0,000
113,6	0,000	0,000	0,000
113,7	0,000	0,000	0,000
113,8	0,000	0,000	0,000
114,0	0,000	0,000	0,000
114,1	0,000	0,000	0,052
114,3	0,000	0,000	0,000
114,4	0,000	0,000	0,070
114,5	0,000	0,000	0,000
114,7	0,000	0,000	0,000
114,8	0,000	0,000	0,000
115,0	0,000	0,000	0,017
115,1	0,000	0,000	0,000
115,2	0,000	0,000	0,017
115,4	0,000	0,000	0,000
115,5	0,000	0,000	0,000
115,6	0,000	0,000	0,000
115,8	0,000	0,000	0,000
115,9	0,000	0,000	0,000
116,1	0,000	0,000	0,017
116,2	0,000	0,000	0,000
116,3	0,000	0,000	0,000
