depth[mm]	HF [V]	NF [V]	TGC [dB]
-2,6	0,440	0,122	0,035
-2,5	0,513	0,401	0,157
-2,4	0,573	0,236	-0,157
-2,2	0,617	-0,365	-0,157
-2,1	0,644	-0,803	0,630
-1,9	0,654	-0,545	0,630
-1,8	0,651	0,229	0,315
-1,7	0,639	0,810	0,000
-1,5	0,626	0,751	-0,157
-1,4	0,617	0,265	-0,070
-1,3	0,620	-0,158	0,000
-1,1	0,638	-0,307	0,315
-1,0	0,674	-0,300	0,157
-0,8	0,726	-0,218	-0,087
-0,7	0,790	0,044	0,000
-0,6	0,860	0,525	-0,017
-0,4	0,928	0,963	0,000
-0,3	0,984	0,955	0,140
-0,1	1,021	0,363	0,000
0,0	1,033	-0,504	0,017
0,1	1,015	-1,126	0,000
0,3	0,968	-1,197	0,105
0,4	0,895	-0,829	0,000
0,6	0,803	-0,394	0,140
0,7	0,699	-0,169	0,000
0,8	0,595	-0,134	0,000
1,0	0,499	-0,093	0,052
1,1	0,421	0,058	0,000
1,3	0,366	0,210	0,000
1,4	0,337	0,182	0,157
1,5	0,334	-0,062	0,000
1,7	0,354	-0,364	0,087
1,8	0,391	-0,511	0,000
1,9	0,438	-0,412	0,000
2,1	0,486	-0,134	0,070
2,2	0,527	0,171	0,000
2,4	0,555	0,381	0,000
2,5	0,566	0,470	0,000
2,6	0,556	0,482	0,000
2,8	0,526	0,460	0,000
2,9	0,478	0,397	0,035
3,1	0,417	0,271	0,000
3,2	0,347	0,109	0,000
3,3	0,275	-0,014	0,035
3,5	0,206	-0,048	0,000
3,6	0,145	-0,026	0,070
3,8	0,095	-0,016	0,000
3,9	0,057	-0,038	0,000
4,0	0,034	-0,052	0,035
4,2	0,023	-0,024	0,017
4,3	0,023	0,017	0,000
4,4	0,030	0,022	0,000
4,6	0,043	-0,016	0,000
4,7	0,057	-0,054	0,052
4,9	0,071	-0,059	0,000
5,0	0,082	-0,046	0,000
5,1	0,089	-0,051	0,017
5,3	0,092	-0,079	0,000
5,4	0,090	-0,096	0,000
5,6	0,084	-0,075	0,035
5,7	0,076	-0,027	0,000
5,8	0,067	0,015	0,000
6,0	0,057	0,030	0,000
6,1	0,049	0,026	0,000
6,3	0,042	0,016	0,000
6,4	0,037	0,002	0,017
6,5	0,034	-0,019	0,000
6,7	0,034	-0,044	0,000
6,8	0,034	-0,056	0,000
7,0	0,036	-0,045	0,017
7,1	0,038	-0,017	0,000
7,2	0,040	0,012	0,000
7,4	0,041	0,027	0,000
7,5	0,041	0,028	0,000
7,6	0,040	0,023	0,000
7,8	0,037	0,012	0,000
7,9	0,034	-0,005	0,000
8,1	0,030	-0,022	0,017
8,2	0,026	-0,029	0,000
8,3	0,022	-0,020	0,000
8,5	0,018	-0,004	0,000
8,6	0,015	0,006	0,017
8,8	0,012	0,007	0,000
8,9	0,010	0,005	0,000
9,0	0,009	0,006	0,000
9,2	0,009	0,008	0,000
9,3	0,009	0,003	0,000
9,5	0,009	-0,006	0,000
9,6	0,010	-0,011	0,000
9,7	0,012	-0,009	0,017
9,9	0,013	-0,003	0,000
10,0	0,014	-0,001	0,000
10,1	0,015	-0,001	0,000
10,3	0,017	0,001	0,000
10,4	0,018	0,009	0,000
10,6	0,019	0,018	0,017
10,7	0,020	0,022	0,000
10,8	0,021	0,020	0,017
11,0	0,022	0,011	0,000
11,1	0,023	0,001	0,000
11,3	0,024	-0,011	0,000
11,4	0,024	-0,020	0,000
11,5	0,025	-0,023	0,000
11,7	0,025	-0,019	0,000
11,8	0,025	-0,007	0,000
12,0	0,025	0,010	0,000
12,1	0,025	0,023	0,000
12,2	0,025	0,027	0,000
12,4	0,024	0,021	0,000
12,5	0,023	0,008	0,052
12,6	0,023	-0,005	0,000
12,8	0,022	-0,014	0,000
12,9	0,022	-0,017	0,000
13,1	0,021	-0,016	0,000
13,2	0,020	-0,009	0,000
13,3	0,020	0,002	0,000
13,5	0,019	0,014	0,000
13,6	0,019	0,022	0,000
13,8	0,018	0,021	0,000
13,9	0,018	0,012	0,017
14,0	0,017	0,001	0,000
14,2	0,016	-0,005	0,017
14,3	0,015	-0,008	0,000
14,5	0,014	-0,010	0,000
14,6	0,013	-0,012	0,000
14,7	0,012	-0,011	0,017
14,9	0,011	-0,003	0,000
15,0	0,010	0,006	0,000
15,2	0,009	0,009	0,000
15,3	0,008	0,005	0,000
15,4	0,008	-0,002	0,000
15,6	0,007	-0,006	0,017
15,7	0,007	-0,005	0,000
15,8	0,007	-0,003	0,017
16,0	0,007	-0,002	0,000
